	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
50.0	0.00034356470959	-118.557401090
51.0	0.000377285296721	-120.123913557
52.0	0.000415312131939	-121.868069244
53.0	0.000458334363666	-123.821954920
54.0	0.000507151033672	-126.024691026
55.0	0.000562671076033	-128.524001913
56.0	0.000625893140927	-131.377925404
57.0	0.000697845011799	-134.656394421
58.0	0.000779448095028	-138.442064285
59.0	0.000871253563827	-142.829107839
60.0	0.00097298196738	-147.917653398
61.0	0.0010828177039	-153.800275599
62.0	0.00119653151259	-160.536481971
63.0	0.00130681036399	-168.114174976
64.0	0.00140359604904	-176.407241191
65.0	0.00147625236724	174.846128678
66.0	0.00151723430077	166.012531845
67.0	0.00152510583273	157.481155058
68.0	0.00150462496512	149.566061364
69.0	0.00146405211409	142.451183136
70.0	0.00141192719919	136.192771421
71.0	0.00135509740034	130.756666841
72.0	0.00129819988034	126.060504820
73.0	0.00124397417112	122.005085128
74.0	0.00119381448921	118.492584277
75.0	0.00114826612248	115.435017825
76.0	0.00110738360146	112.756953775
77.0	0.00107096166934	110.395347293
78.0	0.00103867415784	108.298174503
79.0	0.00101015311343	106.422728198
80.0	0.000985031497706	104.733967944
81.0	0.00096296455389	103.203074688
82.0	0.0009436390913	101.806245027
83.0	0.000926776162077	100.523710591
84.0	0.000912130294344	99.3389506384
85.0	0.00089948708472	98.2380636658
86.0	0.000888660129525	97.2092664058
87.0	0.000879487838097	96.2424936763
88.0	0.000871830385285	95.329077684
89.0	0.00086556693518	94.4614894929
90.0	0.00086059316488	93.6331292511
91.0	0.000856819098881	92.8381546228
92.0	0.000854167217861	92.0713391870
93.0	0.000852570818403	91.3279543084
94.0	0.000851972577665	90.6036694536
95.0	0.000852323294388	89.8944669293
96.0	0.000853580759775	89.1965679008
97.0	0.000855708732942	88.5063672500
98.0	0.000858675966361	87.8203753509
99.0	0.000862455265971	87.1351653978
100.0	0.000867022524228	86.4472523479
