	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
50.0	0.00269389730502	67.1148263725
51.0	0.00290870235881	65.5331638354
52.0	0.00314871947972	63.7701844359
53.0	0.00341781740566	61.7938279106
54.0	0.00372041931225	59.5649917156
55.0	0.00406145937736	57.0359610869
56.0	0.00444620086027	54.1486993843
57.0	0.00487978972346	50.8332665373
58.0	0.00536633509445	47.0069916043
59.0	0.0059072050597	42.5756780350
60.0	0.00649816452775	37.4391653445
61.0	0.00712515381282	31.5048384907
62.0	0.00775931705457	24.7131410049
63.0	0.00835377372521	17.0761135421
64.0	0.00884700247435	8.71980406908
65.0	0.00917728673983	-0.0943560099329
66.0	0.0093051740307	-8.99924352986
67.0	0.00923019914268	-17.6060665501
68.0	0.0089888113245	-25.6008613266
69.0	0.00863614002121	-32.7998033943
70.0	0.00822608779804	-39.1467584965
71.0	0.0078001099889	-44.6760115280
72.0	0.00738507235197	-49.4700616938
73.0	0.00699590402626	-53.6282530216
74.0	0.00663937893395	-57.2485619777
75.0	0.00631731708473	-60.4191355598
76.0	0.00602881104701	-63.2155777484
77.0	0.00577161712017	-65.7011153503
78.0	0.005542964334	-67.9279639675
79.0	0.00533999661457	-69.9390326217
80.0	0.00515999735821	-71.7695738253
81.0	0.00500049043862	-73.4486289463
82.0	0.00485927370288	-75.0002340948
83.0	0.00473441749398	-76.4444008181
84.0	0.00462424638288	-77.7979034233
85.0	0.00452731413414	-79.0749073412
86.0	0.00444237719681	-80.2874699464
87.0	0.00436836934407	-81.4459403750
88.0	0.00430437869091	-82.5592799409
89.0	0.0042496274152	-83.6353200471
90.0	0.00420345427496	-84.6809712373
91.0	0.00416529966774	-85.7023938753
92.0	0.00413469296474	-86.7051384833
93.0	0.00411124185745	-87.6942624572
94.0	0.00409462342181	-88.6744280119
95.0	0.00408457662965	-89.6499853352
96.0	0.00408089613572	-90.6250442047
97.0	0.00408342703138	-91.6035364572
98.0	0.00409206051597	-92.5892713672
99.0	0.0041067302337	-93.5859854437
100.0	0.00412740916194	-94.5973080050
