Frequency	Amplitude	Phase Angle [deg]
51.0	5.81715542194e-06	-4.32360391904
52.0	6.15087847861e-06	-4.56183010074
53.0	6.52341425576e-06	-4.82483940722
54.0	6.94167905689e-06	-5.11716141155
55.0	7.41433902594e-06	-5.44448050164
56.0	7.95239806569e-06	-5.81402758029
57.0	8.5700385002e-06	-6.23514205336
58.0	9.28585000806e-06	-6.72009668981
59.0	1.01246716468e-05	-7.28534026607
60.0	1.1120432111e-05	-7.95342570321
61.0	1.23206731343e-05	-8.75610575028
62.0	1.37940259784e-05	-9.73950455971
63.0	1.56431094563e-05	-10.9731701002
64.0	1.80279071506e-05	-12.5668240836
65.0	2.12105903053e-05	-14.7034904492
66.0	2.56468717767e-05	-17.7105018992
67.0	3.2182491212e-05	-22.2269494869
68.0	4.24698939564e-05	-29.6413231651
69.0	5.94412815306e-05	-43.2878318025
70.0	8.23692753928e-05	-70.2268896628
71.0	8.3438332055e-05	-109.257395475
72.0	6.10864741005e-05	-136.806634806
73.0	4.39893181083e-05	-150.781117769
74.0	3.35854815425e-05	-158.336409048
75.0	2.697809089e-05	-162.915710872
76.0	2.2495846544e-05	-165.949768036
77.0	1.92808221156e-05	-168.094342573
78.0	1.68708966533e-05	-169.684008349
79.0	1.50004658322e-05	-170.905184926
80.0	1.35076017452e-05	-171.869238444
81.0	1.22885122668e-05	-172.646474557
82.0	1.12738094441e-05	-173.283275181
83.0	1.0415428045e-05	-173.811333604
84.0	9.6790493883e-06	-174.252913799
85.0	9.03952084495e-06	-174.623985204
86.0	8.47798126535e-06	-174.936162497
87.0	7.97999702197e-06	-175.197941825
88.0	7.53431821174e-06	-175.415505376
89.0	7.13202711108e-06	-175.593250049
90.0	6.7659415392e-06	-175.734131730
91.0	6.43018790309e-06	-175.839879635
92.0	6.11988946785e-06	-175.911112241
93.0	5.8309343632e-06	-175.947371313
94.0	5.55979949261e-06	-175.947079264
95.0	5.30341429889e-06	-175.907415329
96.0	5.05905288437e-06	-175.824095069
97.0	4.82424665779e-06	-175.691024456
98.0	4.5967117458e-06	-175.499779924
99.0	4.37428706769e-06	-175.238835380
100.0	4.15488044311e-06	-174.892259300
