	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
50.0	1.9258938898e-05	-98.5189331445
51.0	1.99461590783e-05	-99.1386036348
52.0	2.06677074256e-05	-99.8454798723
53.0	2.14259015945e-05	-100.657866734
54.0	2.22223317387e-05	-101.598478030
55.0	2.30570925074e-05	-102.695407440
56.0	2.39274975521e-05	-103.983096126
57.0	2.48259887593e-05	-105.503004404
58.0	2.57368646112e-05	-107.303344593
59.0	2.66314669704e-05	-109.436603272
60.0	2.74618448391e-05	-111.952595607
61.0	2.81541992818e-05	-114.883651332
62.0	2.86062863652e-05	-118.218310602
63.0	2.86971079027e-05	-121.863384055
64.0	2.83184880585e-05	-125.605111105
65.0	2.74274120836e-05	-129.096821094
66.0	2.6092900757e-05	-131.906238467
67.0	2.44966336784e-05	-133.627619657
68.0	2.28752103141e-05	-134.013304453
69.0	2.14413141471e-05	-133.056734952
70.0	2.03314971166e-05	-130.986975103
71.0	1.95965331048e-05	-128.182510197
72.0	1.92211266672e-05	-125.049647581
73.0	1.91531136606e-05	-121.922667321
74.0	1.93284965641e-05	-119.019737327
75.0	1.96870414324e-05	-116.449636313
76.0	2.01791392913e-05	-114.242940431
77.0	2.07670466655e-05	-112.384827526
78.0	2.14234587985e-05	-110.839331366
79.0	2.21292846481e-05	-109.564031709
80.0	2.28715178234e-05	-108.517665127
81.0	2.36415101291e-05	-107.663414897
82.0	2.44336784578e-05	-106.969879029
83.0	2.52445768559e-05	-106.410927526
84.0	2.6072245779e-05	-105.965108158
85.0	2.69157621506e-05	-105.614929307
86.0	2.77749301576e-05	-105.346170007
87.0	2.8650069771e-05	-105.147274373
88.0	2.95418730442e-05	-105.008844144
89.0	3.0451306924e-05	-104.923224285
90.0	3.13795482329e-05	-104.884169157
91.0	3.23279414761e-05	-104.886575269
92.0	3.32979725593e-05	-104.926268191
93.0	3.4291254242e-05	-104.999832490
94.0	3.5309519889e-05	-105.104476141
95.0	3.63546245894e-05	-105.237921709
96.0	3.74285516234e-05	-105.398319154
97.0	3.85334239883e-05	-105.584175797
98.0	3.9671521587e-05	-105.794299860
99.0	4.08453036282e-05	-106.027755590
100.0	4.20574374315e-05	-106.283738204
