	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
50.0	1.14150696908e-05	79.1053102636
51.0	1.18978213302e-05	78.2316349162
52.0	1.2412860889e-05	77.2346264679
53.0	1.29632723927e-05	76.0893721217
54.0	1.35518862375e-05	74.7650923805
55.0	1.41807592542e-05	73.2238099747
56.0	1.48502608132e-05	71.4189348788
57.0	1.55575248994e-05	69.2940470134
58.0	1.62939337219e-05	66.7825181229
59.0	1.70412551549e-05	63.8092707528
60.0	1.7766253266e-05	60.2970178441
61.0	1.84144424281e-05	56.1805914903
62.0	1.89057691134e-05	51.4334246063
63.0	1.91384138209e-05	46.1071878132
64.0	1.90088775058e-05	40.3753519306
65.0	1.84500987596e-05	34.5555760952
66.0	1.7471049997e-05	29.0804782976
67.0	1.61675363001e-05	24.4127396895
68.0	1.46908323683e-05	20.9450442320
69.0	1.3196653572e-05	18.9364664012
70.0	1.18077995131e-05	18.4994702848
71.0	1.06026460847e-05	19.6132819686
72.0	9.62079810102e-06	22.1368395518
73.0	8.87356145825e-06	25.8168285698
74.0	8.35278486784e-06	30.3067288276
75.0	8.03723284828e-06	35.2130216297
76.0	7.89780427853e-06	40.1628382859
77.0	7.90240106825e-06	44.8646426066
78.0	8.02008850775e-06	49.1357861171
79.0	8.2238545849e-06	52.8943055931
80.0	8.49178302616e-06	56.1310531703
81.0	8.8070206031e-06	58.8795869715
82.0	9.15709970384e-06	61.1930032183
83.0	9.53305823804e-06	63.1293808705
84.0	9.92860333e-06	64.7440201803
85.0	1.03394168938e-05	66.0860390818
86.0	1.07626185762e-05	67.1974082618
87.0	1.11963668232e-05	68.1131928917
88.0	1.16395692952e-05	68.8623004097
89.0	1.20916753816e-05	69.4683694364
90.0	1.25525281793e-05	69.9506274229
91.0	1.30222595743e-05	70.3246483518
92.0	1.35012150684e-05	70.6029899923
93.0	1.39899002062e-05	70.7957163821
94.0	1.44889412001e-05	70.9108183458
95.0	1.49990557845e-05	70.9545476799
96.0	1.55210299363e-05	70.9316800902
97.0	1.60556985112e-05	70.8457203660
98.0	1.66039264609e-05	70.6990596195
99.0	1.71665894842e-05	70.4930953695
100.0	1.77445512421e-05	70.2282610088
