	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
50.0	2.14123668028e-06	-38.6037137835
51.0	2.28605040355e-06	-30.3588837325
52.0	2.51993655567e-06	-22.2372509633
53.0	2.86268618955e-06	-14.8268300701
54.0	3.33210965589e-06	-8.57158065048
55.0	3.94522068206e-06	-3.70290458760
56.0	4.72012795716e-06	-0.279113029225
57.0	5.67729227282e-06	1.73410430602
58.0	6.83924918647e-06	2.39685163281
59.0	8.22801683854e-06	1.75794642844
60.0	9.8590728721e-06	-0.156190296325
61.0	1.17305615319e-05	-3.33255004890
62.0	1.38074740588e-05	-7.74504835162
63.0	1.60047197219e-05	-13.3130839166
64.0	1.81806643905e-05	-19.8559276876
65.0	2.01574742202e-05	-27.0684763850
66.0	2.17725312735e-05	-34.5485748652
67.0	2.29354635036e-05	-41.8791591168
68.0	2.36511184545e-05	-48.7232886222
69.0	2.39965590218e-05	-54.8783258741
70.0	2.40773644654e-05	-60.2726143759
71.0	2.39928559761e-05	-64.9275330050
72.0	2.38203024039e-05	-68.9147672586
73.0	2.36131316906e-05	-72.3245315064
74.0	2.34053392348e-05	-75.2470354522
75.0	2.32170899986e-05	-77.7637684692
76.0	2.3059450319e-05	-79.9445839890
77.0	2.29378069266e-05	-81.8477028927
78.0	2.28541477782e-05	-83.5209483454
79.0	2.28085155051e-05	-85.0033431970
80.0	2.27999062553e-05	-86.3266718514
81.0	2.28268132188e-05	-87.5168523685
82.0	2.28875478564e-05	-88.5950806663
83.0	2.29804249757e-05	-89.5787588869
84.0	2.31038649866e-05	-90.4822375326
85.0	2.32564464776e-05	-91.3174043222
86.0	2.34369303009e-05	-92.0941498255
87.0	2.36442667449e-05	-92.8207353732
88.0	2.38775943764e-05	-93.5040837796
89.0	2.41362341795e-05	-94.1500093131
90.0	2.44196831618e-05	-94.7633995522
91.0	2.4727608189e-05	-95.3483591409
92.0	2.50598417621e-05	-95.9083231861
93.0	2.54163807512e-05	-96.4461460808
94.0	2.57973887439e-05	-96.9641707774
95.0	2.62032025297e-05	-97.4642819314
96.0	2.66343449007e-05	-97.9479462183
97.0	2.70915436227e-05	-98.4162424498
98.0	2.75757593472e-05	-98.8698841386
99.0	2.80882246755e-05	-99.3092371684
100.0	2.86304963131e-05	-99.7342521185
