	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
50.0	1.57642370321e-05	-93.4757532364
51.0	1.61302040203e-05	-93.4731465821
52.0	1.64984912181e-05	-93.4514107051
53.0	1.6869429784e-05	-93.4058689066
54.0	1.7243688656e-05	-93.3307195032
55.0	1.7622501447e-05	-93.2188788443
56.0	1.80080219404e-05	-93.0619579096
57.0	1.84038630123e-05	-92.8505853007
58.0	1.88158662148e-05	-92.5754848831
59.0	1.92530831479e-05	-92.2300026416
60.0	1.97287352497e-05	-91.8150360222
61.0	2.0260432222e-05	-91.3470609498
62.0	2.08681776107e-05	-90.8680455258
63.0	2.15683073662e-05	-90.4513238519
64.0	2.23632899318e-05	-90.1921734462
65.0	2.32325746527e-05	-90.1756235943
66.0	2.41340437737e-05	-90.4350117632
67.0	2.50196223231e-05	-90.9340426834
68.0	2.58544969482e-05	-91.5888308073
69.0	2.6625838264e-05	-92.3087232160
70.0	2.73387661883e-05	-93.0250707988
71.0	2.80072807211e-05	-93.6984385740
72.0	2.86469849752e-05	-94.3126616238
73.0	2.92714286143e-05	-94.8658380616
74.0	2.98910792996e-05	-95.3631693101
75.0	3.05135562118e-05	-95.8125420649
76.0	3.1144258338e-05	-96.2222121989
77.0	3.17869942655e-05	-96.5997673662
78.0	3.24444871467e-05	-96.9517703567
79.0	3.31187432134e-05	-97.2837270779
80.0	3.38113080603e-05	-97.6001895676
81.0	3.45234406382e-05	-97.9049009837
82.0	3.52562306909e-05	-98.2009404251
83.0	3.60106773598e-05	-98.4908513828
84.0	3.67877428087e-05	-98.7767492913
85.0	3.75883886231e-05	-99.0604088600
86.0	3.84136021321e-05	-99.3433338900
87.0	3.92644152217e-05	-99.6268124372
88.0	4.01419189037e-05	-99.9119604213
89.0	4.10472758678e-05	-100.199755599
90.0	4.1981731116e-05	-100.491064331
91.0	4.29466227706e-05	-100.786662337
92.0	4.39433932728e-05	-101.087250776
93.0	4.4973601346e-05	-101.393468660
94.0	4.60389363721e-05	-101.705902104
95.0	4.71412345365e-05	-102.025091338
96.0	4.82824990565e-05	-102.351535726
97.0	4.94649241598e-05	-102.685697503
98.0	5.06909253557e-05	-103.028004581
99.0	5.19631767725e-05	-103.378853151
100.0	5.3284658087e-05	-103.738523464
