	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
51.0	51.8309999513	175.478096209
52.0	57.3672229471	175.074415970
53.0	63.8125341398	174.604835565
54.0	71.4072630811	174.051687757
55.0	80.4842021081	173.390435344
56.0	91.5172635331	172.585999068
57.0	105.203976296	171.586472383
58.0	122.612238006	170.311791604
59.0	145.456464999	168.631999844
60.0	176.652255308	166.322259257
61.0	221.513940666	162.960656422
62.0	290.510968469	157.668467942
63.0	405.381025119	148.367318313
64.0	601.182339228	129.668988623
65.0	787.753463528	92.9629080279
66.0	649.425106197	54.6421838383
67.0	455.113149803	34.5017137401
68.0	337.275551061	24.5964400133
69.0	266.389570771	19.0339471787
70.0	220.416252101	15.5352138132
71.0	188.526212912	13.1490644977
72.0	165.214760149	11.4241220641
73.0	147.468456503	10.1220562953
74.0	133.520257913	9.10610193147
75.0	122.272377167	8.29248369807
76.0	113.009427150	7.62714290556
77.0	105.246336739	7.07368896944
78.0	98.6430620329	6.60675310626
79.0	92.9543953610	6.20812354061
80.0	87.9991819198	5.86439615630
81.0	83.6407528086	5.56549141171
82.0	79.7740959856	5.30368702300
83.0	76.3172128644	5.07296891768
84.0	73.2051541580	4.86858463136
85.0	70.3858158327	4.68672906647
86.0	67.8169194618	4.52431878446
87.0	65.4638057967	4.37882683238
88.0	63.2977982394	4.24815956731
89.0	61.2949722098	4.13056315454
90.0	59.4352184691	4.02455109359
91.0	57.7015221404	3.92884684379
92.0	56.0794031001	3.84233704310
93.0	54.5564779598	3.7640320733
94.0	53.1221148926	3.69303132216
95.0	51.7671616949	3.62849082218
96.0	50.4837306957	3.56959124333
97.0	49.2650304329	3.51550400721
98.0	48.1052355826	3.46535310779
99.0	46.9993902167	3.41816959455
100.0	45.9433404927	3.37283199747
