	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
50.0	1.62893104113	-13.9935236454
51.0	1.74645677324	-15.0881662674
52.0	1.87444371958	-16.3294914909
53.0	2.01414538832	-17.7459463457
54.0	2.16690262073	-19.3725194093
55.0	2.33406626450	-21.2522239118
56.0	2.51683809363	-23.4377027769
57.0	2.71597071652	-25.9926834972
58.0	2.93123608736	-28.9926524447
59.0	3.16054246609	-32.5234632004
60.0	3.39858855130	-36.6755477993
61.0	3.63508655027	-41.5301306138
62.0	3.85303319259	-47.1333778791
63.0	4.02836786374	-53.4574494276
64.0	4.13316755133	-60.3575932201
65.0	4.14367271041	-67.5501777406
66.0	4.05046357604	-74.6416908672
67.0	3.86388021136	-81.2119788759
68.0	3.60991372780	-86.9099092899
69.0	3.31982522384	-91.5079013375
70.0	3.02094513791	-94.8989644338
71.0	2.73265873170	-97.0595899814
72.0	2.46670646778	-98.0090905496
73.0	2.22930633329	-97.7822633199
74.0	2.02335940683	-96.4191872927
75.0	1.85006531231	-93.9701955840
76.0	1.70986669431	-90.5121941886
77.0	1.60284198399	-86.1701711331
78.0	1.52870837617	-81.1335950075
79.0	1.48662031100	-75.6547445797
80.0	1.47497143689	-70.0213117145
81.0	1.49137484120	-64.5103445530
82.0	1.53287535219	-59.3439705800
83.0	1.59630546668	-54.6658505439
84.0	1.67863717637	-50.5426751698
85.0	1.77722608958	-46.9818042953
86.0	1.88992456016	-43.9531745250
87.0	2.01509389775	-41.4078536836
88.0	2.15155951309	-39.2907688146
89.0	2.29854382381	-37.5481622987
90.0	2.45559783382	-36.1313047936
91.0	2.62254109611	-34.9979113771
92.0	2.79941312506	-34.1123004553
93.0	2.98643596841	-33.4449477048
94.0	3.18398639191	-32.9718044231
95.0	3.39257565578	-32.6735768598
96.0	3.61283509795	-32.5350570196
97.0	3.84550578971	-32.5445443328
98.0	4.09143083033	-32.6933642275
99.0	4.35154885407	-32.9754811046
100.0	4.62688737886	-33.3871650735
