	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
50.0	45.5967592481	-0.0350287178854
51.0	45.6073164793	-0.0392553303928
52.0	45.6183647151	-0.0441493002699
53.0	45.6299100329	-0.0498565912423
54.0	45.6419409894	-0.0565604335697
55.0	45.6544158036	-0.0644891183268
56.0	45.6672422865	-0.0739222285481
57.0	45.6802465472	-0.0851906340331
58.0	45.6931281723	-0.0986604210792
59.0	45.7054004073	-0.114682280599
60.0	45.7163267225	-0.133476582229
61.0	45.7248900327	-0.154919180604
62.0	45.7298775835	-0.178221430906
63.0	45.7301990189	-0.201607941377
64.0	45.7254850694	-0.222292977999
65.0	45.7167213381	-0.237140504114
66.0	45.7063375328	-0.243970273759
67.0	45.6973863158	-0.242659281352
68.0	45.6923117657	-0.235085014779
69.0	45.6922383952	-0.224030155115
70.0	45.6970928012	-0.212029857349
71.0	45.7061432459	-0.200819868393
72.0	45.7184863913	-0.19133642084
73.0	45.7333144839	-0.183948776967
74.0	45.7500047347	-0.178699924945
75.0	45.7681163862	-0.175477383828
76.0	45.7873558166	-0.174113860485
77.0	45.8075375198	-0.174439329153
78.0	45.8285522384	-0.176304611125
79.0	45.8503428718	-0.179589928228
80.0	45.8728881388	-0.184206236899
81.0	45.8961908714	-0.190093523662
82.0	45.9202706860	-0.197218143847
83.0	45.9451587199	-0.205570183343
84.0	45.9708945475	-0.215161249723
85.0	45.9975237030	-0.22602283551
86.0	46.0250965234	-0.238205271755
87.0	46.0536666002	-0.25177724596
88.0	46.0832904029	-0.266825841871
89.0	46.1140266753	-0.283457066941
90.0	46.1459352699	-0.301796855085
91.0	46.1790771949	-0.321992511118
92.0	46.2135132333	-0.34421462381
93.0	46.2493031007	-0.368659437846
94.0	46.2865041539	-0.395551713777
95.0	46.3251692556	-0.425148095197
96.0	46.3653446974	-0.457741000116
97.0	46.4070668008	-0.49366305634
98.0	46.4503577827	-0.533292065888
99.0	46.4952203340	-0.577056450789
100.0	46.5416303795	-0.625440561968
