	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
50.0	0.00522494357455	63.9849019009
51.0	0.00569672199215	62.3478166153
52.0	0.00622756607654	60.5296010580
53.0	0.00682690120296	58.4981686374
54.0	0.00750562996407	56.2143874136
55.0	0.00827611267059	53.6305096095
56.0	0.00915186015977	50.6884620025
57.0	0.0101466563064	47.3182636304
58.0	0.0112726312804	43.4371981957
59.0	0.0125365496167	38.9510187229
60.0	0.0139333860495	33.7595087953
61.0	0.0154365603491	27.7699914130
62.0	0.0169859299556	20.9228416098
63.0	0.0184789058857	13.2300239423
64.0	0.0197758256981	4.81750235193
65.0	0.0207307039128	-4.05338471430
66.0	0.0212422770533	-13.0156169348
67.0	0.021295081783	-21.6805161277
68.0	0.0209592831623	-29.7342442538
69.0	0.0203522998739	-36.9931159353
70.0	0.0195938666376	-43.4011507241
71.0	0.0187790472294	-48.9928036593
72.0	0.017971587481	-53.8507621131
73.0	0.0172086638098	-58.0745784598
74.0	0.0165087877923	-61.7624598727
75.0	0.0158788041216	-65.0028087201
76.0	0.0153188946479	-67.8715120990
77.0	0.0148257813103	-70.4321106136
78.0	0.014394637042	-72.7371679986
79.0	0.0140201645832	-74.8299796375
80.0	0.0136971713646	-76.7462272062
81.0	0.0134208514376	-78.5154290825
82.0	0.0131869029752	-80.1621518620
83.0	0.0129915570283	-81.7069976735
84.0	0.0128315609509	-83.1673987201
85.0	0.0127041408862	-84.5582539747
86.0	0.0126069568842	-85.8924394264
87.0	0.0125380573982	-87.1812186491
88.0	0.0124958369516	-88.4345752513
89.0	0.0124789982896	-89.6614847117
90.0	0.0124865193986	-90.8701391057
91.0	0.0125176253727	-92.0681355881
92.0	0.0125717644501	-93.2626371707
93.0	0.0126485879508	-94.4605124240
94.0	0.0127479329575	-95.6684596514
95.0	0.0128698075579	-96.8931196878
96.0	0.0130143773413	-98.1411811098
97.0	0.0131819527762	-99.4194802990
98.0	0.0133729758594	-100.735099129
99.0	0.0135880053843	-102.095461480
100.0	0.0138276987813	-103.508342855
