	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
51.0	0.582939267479	175.326196869
52.0	0.644098453237	175.084183203
53.0	0.713311982648	174.817288262
54.0	0.792059092726	174.520961198
55.0	0.882194879746	174.189495244
56.0	0.986076930352	173.815635953
57.0	1.10674654064	173.390019090
58.0	1.24819388042	172.900345553
59.0	1.41575588615	172.330138544
60.0	1.61673059015	171.656815299
61.0	1.86135702512	170.848591098
62.0	2.16443796360	169.859307417
63.0	2.54814615784	168.619379232
64.0	3.04712662909	167.019044772
65.0	3.71832217570	164.875236569
66.0	4.66112851921	161.860574435
67.0	6.06122239311	157.335915485
68.0	8.28581326858	149.912712792
69.0	12.0086195950	136.256694700
70.0	17.2252969705	109.307377836
71.0	18.0558238116	70.2657864455
72.0	13.6744167995	42.7045495961
73.0	10.1834087823	28.7170616072
74.0	8.03819097171	21.1476508654
75.0	6.67369015842	16.5529949312
76.0	5.75044591628	13.5022132526
77.0	5.09183922625	11.3393901501
78.0	4.60206337061	9.72977705443
79.0	4.22581097128	8.48675502221
80.0	3.92926126950	7.49872956513
81.0	3.69068792045	6.69513223926
82.0	3.49554172277	6.02927754264
83.0	3.33373090159	5.46911984289
84.0	3.19804195571	4.99198425871
85.0	3.08318286960	4.58141980412
86.0	2.98518161474	4.22524441786
87.0	2.90099548404	3.91428973564
88.0	2.82824998084	3.64157235082
89.0	2.76505973495	3.40173430033
90.0	2.70990276106	3.19065898331
91.0	2.66153018498	3.00520501201
92.0	2.61890003696	2.84302219216
93.0	2.58112766876	2.70242687586
94.0	2.54744769072	2.58232265200
95.0	2.51718405121	2.48215795223
96.0	2.48972574399	2.40191658675
97.0	2.46450638156	2.34214062032
98.0	2.44098622714	2.30398876454
99.0	2.41863561685	2.28933712565
100.0	2.39691877874	2.30093285317
