	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
51.0	0.227687993949	-2.12693906563
52.0	0.242532846651	-2.27718227957
53.0	0.258653493158	-2.44652666845
54.0	0.276253236308	-2.63883268844
55.0	0.295585781923	-2.85901452689
56.0	0.316972050866	-3.11341215703
57.0	0.340824177636	-3.41032897647
58.0	0.367680539509	-3.76082623289
59.0	0.398258162255	-4.17992728927
60.0	0.433533346338	-4.68849697951
61.0	0.474869746478	-5.31627457825
62.0	0.524229390415	-6.10696405956
63.0	0.584535263514	-7.12717966513
64.0	0.66032502899	-8.48305374737
65.0	0.758995285717	-10.3531736958
66.0	0.893309517904	-13.0593261210
67.0	1.08668877098	-17.2335810616
68.0	1.38393040219	-24.2554138952
69.0	1.85970737759	-37.4472733518
70.0	2.45983837230	-63.8539507719
71.0	2.36243052085	-102.253155094
72.0	1.62688182729	-129.042730646
73.0	1.09167075947	-142.087114438
74.0	0.767872144159	-148.479709980
75.0	0.560333895007	-151.568140983
76.0	0.417015664752	-152.628904116
77.0	0.311797495449	-152.053606277
78.0	0.230945966146	-149.690197310
79.0	0.16704119056	-144.747087829
80.0	0.116617255392	-135.192786377
81.0	0.0802776896747	-116.490442247
82.0	0.0644966309124	-84.5180119692
83.0	0.0734490610707	-52.7651120133
84.0	0.0965967461481	-34.1160352111
85.0	0.124382427545	-24.1912513130
86.0	0.1533645709	-18.4838508550
87.0	0.182539637966	-14.9124453096
88.0	0.21167530079	-12.5281177349
89.0	0.240798647849	-10.8595957789
90.0	0.270030523437	-9.65203375249
91.0	0.299527294541	-8.75752996137
92.0	0.329459819155	-8.08524523635
93.0	0.360006651095	-7.57682019650
94.0	0.391353199116	-7.19341643218
95.0	0.423693633662	-6.90848916361
96.0	0.457234276963	-6.70356373342
97.0	0.492198037888	-6.56567200779
98.0	0.528829812678	-6.48575036842
99.0	0.567403005836	-6.45761970189
100.0	0.608227470487	-6.47732778610
