	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
51.0	0.764785393212	175.249737382
52.0	0.84733627134	174.986287396
53.0	0.941187157788	174.696917865
54.0	1.04847023199	174.377048725
55.0	1.17186541826	174.020941367
56.0	1.31478556573	173.621306507
57.0	1.48164156906	173.168741859
58.0	1.67823047941	172.650906790
59.0	1.91231811790	172.051279238
60.0	2.19453900179	171.347226965
61.0	2.53983250577	170.506911291
62.0	2.96982253550	169.484114883
63.0	3.51693545810	168.209188444
64.0	4.23189372997	166.572300152
65.0	5.19816294055	164.390305989
66.0	6.56163705495	161.335742223
67.0	8.59537252920	156.769374610
68.0	11.8411492652	149.302556386
69.0	17.3014696092	135.600906533
70.0	25.0305986455	108.603821999
71.0	26.4744354641	69.5121957777
72.0	20.2404726579	41.8985127791
73.0	15.2234391188	27.8560089637
74.0	12.1422535355	20.2288383945
75.0	10.1918000724	15.5734864399
76.0	8.88305358428	12.4588603687
77.0	7.96074299844	10.2288098181
78.0	7.28623145150	8.54832610108
79.0	6.77949062272	7.23050147021
80.0	6.39164415218	6.16341995091
81.0	6.09137997165	5.27615448340
82.0	5.85782917229	4.52161851262
83.0	5.67662571157	3.86731661564
84.0	5.53761882770	3.29006810741
85.0	5.43348852841	2.77285136625
86.0	5.35887721572	2.30283854917
87.0	5.30982829529	1.87012781350
88.0	5.28341388502	1.46689961305
89.0	5.27748309326	1.08683899623
90.0	5.29048928121	0.724729351283
91.0	5.32137087241	0.376159107763
92.0	5.36946949278	0.0373041229663
93.0	5.43447514292	-0.295238698602
94.0	5.51639181323	-0.624583115334
95.0	5.61551939252	-0.953662166124
96.0	5.73244946125	-1.28532225941
97.0	5.86807383918	-1.62240933286
98.0	6.02360595444	-1.96785271087
99.0	6.20061589135	-2.32475186666
100.0	6.40108136469	-2.69646917306
