	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
51.0	0.0347713711877	-6.22833485472
52.0	0.0392464576765	-6.42871413908
53.0	0.0443689849336	-6.65531238586
54.0	0.0502599022436	-6.91261798314
55.0	0.057070910435	-7.20627670082
56.0	0.064994827691	-7.54348343311
57.0	0.0742804271173	-7.93354419500
58.0	0.0852541540624	-8.38870105043
59.0	0.0983527256047	-8.92537478856
60.0	0.114173481306	-9.56609311096
61.0	0.133554739854	-10.3425863616
62.0	0.157708950558	-11.3009592543
63.0	0.18845313552	-12.5107433681
64.0	0.228628305911	-14.0816471651
65.0	0.282908266518	-16.1966847211
66.0	0.35946216557	-19.1831823846
67.0	0.47358239284	-23.6802287023
68.0	0.655629472546	-31.0763151001
69.0	0.96188667659	-44.7056565993
70.0	1.39613986454	-71.6286781026
71.0	1.48026294997	-110.644294594
72.0	1.13349974898	-138.179813777
73.0	0.853162889598	-152.141774476
74.0	0.680395505989	-159.685777774
75.0	0.570524604782	-164.255070467
76.0	0.496316045778	-167.280451902
77.0	0.443532168933	-169.417749749
78.0	0.404430071781	-171.001616355
79.0	0.374532237037	-172.218564896
80.0	0.351096823724	-173.180072672
81.0	0.33236012431	-173.956577328
82.0	0.317139291551	-174.594617333
83.0	0.304612341929	-175.126072022
84.0	0.294190271612	-175.573426707
85.0	0.285439503898	-175.952914980
86.0	0.278033069598	-176.276467738
87.0	0.27171885492	-176.552961280
88.0	0.266298331744	-176.789036981
89.0	0.261611919372	-176.989649446
90.0	0.257528653256	-177.158436097
91.0	0.253938708777	-177.297964799
92.0	0.250747848822	-177.409893919
93.0	0.247873185516	-177.495065670
94.0	0.245239837392	-177.553544111
95.0	0.242778197496	-177.584602468
96.0	0.24042159275	-177.586658123
97.0	0.238104186467	-177.557147892
98.0	0.235758988534	-177.492328250
99.0	0.233315868819	-177.386975113
100.0	0.230699471073	-177.233792444
