Frequency	Amplitude	Phase Angle [deg]
50.0	3.02115257132e-07	177.664661107
51.0	3.02253052755e-07	178.239252753
52.0	3.02325060106e-07	178.968057169
53.0	3.02413663711e-07	179.888333104
54.0	3.02667036732e-07	-178.955341361
55.0	3.03337030025e-07	-177.510892984
56.0	3.04834242959e-07	-175.725201346
57.0	3.07801822685e-07	-173.554587180
58.0	3.13199245042e-07	-170.988688407
59.0	3.22362072393e-07	-168.089211932
60.0	3.3695991874e-07	-165.037650849
61.0	3.587329354e-07	-162.164848698
62.0	3.88914667781e-07	-159.916888978
63.0	4.27428907519e-07	-158.732390091
64.0	4.7225100891e-07	-158.876859505
65.0	5.19506209942e-07	-160.334228750
66.0	5.64587640915e-07	-162.824856869
67.0	6.03786587287e-07	-165.931308411
68.0	6.35379577337e-07	-169.248347413
69.0	6.59591519267e-07	-172.478964001
70.0	6.7780997787e-07	-175.455342770
71.0	6.91757370574e-07	-178.112140638
72.0	7.02990743529e-07	179.552887248
73.0	7.12721979058e-07	177.509473378
74.0	7.21819628125e-07	175.716700302
75.0	7.30877954013e-07	174.132396490
76.0	7.40294039474e-07	172.718169064
77.0	7.50331482281e-07	171.440961683
78.0	7.61167004078e-07	170.273097633
79.0	7.72922593425e-07	169.191701229
80.0	7.85686991843e-07	168.177936771
81.0	7.99529864093e-07	167.216261696
82.0	8.14511090652e-07	166.293768303
83.0	8.30686913788e-07	165.399633027
84.0	8.48114036266e-07	164.524666834
85.0	8.6685243255e-07	163.660952511
86.0	8.86967359159e-07	162.801553420
87.0	9.08530852087e-07	161.940278257
88.0	9.31622946511e-07	161.071490168
89.0	9.56332720201e-07	160.189949581
90.0	9.82759263646e-07	159.290682727
91.0	1.0110126293e-06	158.368869671
92.0	1.04121477946e-06	157.419746030
93.0	1.0735005672e-06	156.438515147
94.0	1.10801873246e-06	155.420266547
95.0	1.14493290951e-06	154.359898378
96.0	1.18442261966e-06	153.252041776
97.0	1.2266841793e-06	152.090985022
98.0	1.27193146502e-06	150.870596061
99.0	1.32039640032e-06	149.584242592
100.0	1.37232899532e-06	148.224583609
