Frequency	Amplitude	Phase Angle [deg]
50.0	0.000464003701547	179.883573291
51.0	0.000446237122226	179.865710161
52.0	0.000429496356765	179.844419385
53.0	0.000413704308214	179.818886214
54.0	0.000398790084291	179.788083187
55.0	0.000384687770989	179.750725127
56.0	0.00037133506284	179.705232648
57.0	0.000358671646401	179.649730394
58.0	0.000346637263484	179.582135397
59.0	0.000335169529852	179.500439972
60.0	0.000324202000783	179.403358567
61.0	0.000313663875236	179.291541287
62.0	0.000303484101094	179.169405810
63.0	0.000293603302288	179.047029999
64.0	0.000283993628238	178.940419901
65.0	0.000274676548081	178.867905235
66.0	0.000265719389138	178.842683021
67.0	0.000257202326141	178.866224152
68.0	0.000249176962227	178.928205379
69.0	0.000241647336843	179.012657915
70.0	0.00023457942555	179.104760099
71.0	0.00022792201542	179.194251114
72.0	0.000221623174965	179.275568781
73.0	0.000215638119294	179.346539398
74.0	0.000209930971009	179.406969095
75.0	0.000204473727454	179.457628681
76.0	0.000199244478265	179.499649896
77.0	0.000194225752601	179.534211140
78.0	0.00018940324128	179.562394648
79.0	0.000184764886024	179.585134942
80.0	0.000180300253915	179.603211602
81.0	0.000176000114396	179.617261209
82.0	0.000171856155105	179.627795794
83.0	0.000167860787339	179.635221905
84.0	0.000164007012893	179.639857801
85.0	0.000160288328675	179.641947969
86.0	0.000156698658984	179.641674907
87.0	0.00015323230418	179.639168419
88.0	0.000149883900223	179.634512768
89.0	0.00014664838826	179.627752024
90.0	0.000143520986626	179.618893880
91.0	0.000140497169604	179.607912207
92.0	0.000137572646389	179.594748503
93.0	0.000134743342987	179.579312390
94.0	0.000132005385913	179.561481273
95.0	0.000129355084117	179.541099214
96.0	0.000126788914372	179.517975107
97.0	0.000124303503759	179.491880190
98.0	0.000121895612494	179.462544949
99.0	0.000119562116181	179.429655515
100.0	0.000117299985265	179.392698135
