Frequency	Amplitude	Phase Angle [deg]
51.0	6.62124454415e-06	-5.00030761271
52.0	7.09658403074e-06	-5.41056710245
53.0	7.65030378182e-06	-5.88647549428
54.0	8.30309933487e-06	-6.44568185400
55.0	9.08361114677e-06	-7.11270352407
56.0	1.00325950908e-05	-7.92259802103
57.0	1.12099847664e-05	-8.92724808321
58.0	1.27074349562e-05	-10.2066912639
59.0	1.46718765493e-05	-11.8908557672
60.0	1.73526911244e-05	-14.2045478443
61.0	2.12031114857e-05	-17.5696461572
62.0	2.71117471091e-05	-22.8648356710
63.0	3.69054320171e-05	-32.1684494713
64.0	5.34183629964e-05	-50.8686594666
65.0	6.83514931955e-05	-87.5759843918
66.0	5.50511380908e-05	-125.897259071
67.0	3.77079414015e-05	-146.037521439
68.0	2.73250941783e-05	-155.941757373
69.0	2.11122744792e-05	-161.502302119
70.0	1.70950536253e-05	-164.998087240
71.0	1.43141646999e-05	-167.380187469
72.0	1.2284544058e-05	-169.099866659
73.0	1.07414700608e-05	-170.395327399
74.0	9.53002973623e-06	-171.403190746
75.0	8.55412073806e-06	-172.207068686
76.0	7.75118168898e-06	-172.860834500
77.0	7.07882382153e-06	-173.400667663
78.0	6.50734616075e-06	-173.851695864
79.0	6.01533626425e-06	-174.231854736
80.0	5.58697471868e-06	-174.554231044
81.0	5.21032307307e-06	-174.828538408
82.0	4.87620192803e-06	-175.062075626
83.0	4.57743537809e-06	-175.260364866
84.0	4.30832967117e-06	-175.427584843
85.0	4.064305669e-06	-175.566868607
86.0	3.84163468059e-06	-175.680508843
87.0	3.63724518806e-06	-175.770097564
88.0	3.4485791636e-06	-175.836617267
89.0	3.27348364405e-06	-175.880493948
90.0	3.11012771494e-06	-175.901617875
91.0	2.95693806838e-06	-175.899334485
92.0	2.81254831415e-06	-175.872404787
93.0	2.67575849982e-06	-175.818931535
94.0	2.54550231088e-06	-175.736243728
95.0	2.42082007471e-06	-175.620727413
96.0	2.30083609548e-06	-175.467583616
97.0	2.18473928648e-06	-175.270484333
98.0	2.07176628385e-06	-175.021081283
99.0	1.9611864144e-06	-174.708296523
100.0	1.8522882694e-06	-174.317134609
