Frequency	Amplitude	Phase Angle [deg]
51.0	4.13303471396e-05	175.038596489
52.0	4.42987546451e-05	174.619905176
53.0	4.77616094319e-05	174.134849641
54.0	5.1849795605e-05	173.565742761
55.0	5.67444690323e-05	172.888026455
56.0	6.27034543786e-05	172.066599544
57.0	7.01059496984e-05	171.049532423
58.0	7.95319400289e-05	169.756737179
59.0	9.19113535791e-05	168.058231376
60.0	0.000108822867456	165.729150266
61.0	0.000133136457632	162.347552043
62.0	0.000170481659211	157.034683371
63.0	0.000232443057288	147.712137056
64.0	0.000337063165984	128.991660773
65.0	0.000432172064933	92.2626482079
66.0	0.000348868696416	53.9181691430
67.0	0.000239563389866	33.7530814859
68.0	0.000174081391153	23.8222852312
69.0	0.000134910734553	18.2333201042
70.0	0.000109604291003	14.7071169527
71.0	9.21087835227e-05	12.2924496175
72.0	7.93619692176e-05	10.5378868600
73.0	6.96922582623e-05	9.20504082133
74.0	6.21213469643e-05	8.15708474836
75.0	5.60423293702e-05	7.31017769525
76.0	5.10601574567e-05	6.61019075623
77.0	4.69072248113e-05	6.02065823422
78.0	4.339609624e-05	5.51613093926
79.0	4.03917226306e-05	5.07831090837
80.0	3.77944153597e-05	4.69370162664
81.0	3.55290330068e-05	4.35212438750
82.0	3.35378961182e-05	4.04575045225
83.0	3.17760166343e-05	3.76845137225
84.0	3.02078075918e-05	3.51535178928
85.0	2.8804765133e-05	3.28251450027
86.0	2.75438040119e-05	3.06671408710
87.0	2.64060421647e-05	2.86527102068
88.0	2.53758994429e-05	2.67592779741
89.0	2.44404201441e-05	2.49675475875
90.0	2.35887574325e-05	2.32607705924
91.0	2.28117769063e-05	2.16241681229
92.0	2.21017485946e-05	2.00444609428
93.0	2.14521059346e-05	1.85094763930
94.0	2.08572559295e-05	1.70078072576
95.0	2.03124289111e-05	1.55285027327
96.0	1.98135596716e-05	1.40607740501
97.0	1.93571935659e-05	1.25936980815
98.0	1.89404131548e-05	1.11159021170
99.0	1.85607821365e-05	0.961521023178
100.0	1.82163043092e-05	0.807822092166
