	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
51.0	0.129959721391	0.898223520655
52.0	0.132477987068	1.16126860739
53.0	0.134385407427	1.50949245498
54.0	0.135482911867	1.98179937887
55.0	0.135500675951	2.64200909964
56.0	0.134067989329	3.60071986813
57.0	0.130672323881	5.06315512816
58.0	0.124617939224	7.44457582558
59.0	0.115062252674	11.6829410730
60.0	0.101596260317	20.1861785696
61.0	0.0881659689321	39.3941209668
62.0	0.100574138196	75.1086011311
63.0	0.193159702443	100.130569021
64.0	0.422051986956	98.0482976659
65.0	0.760151062996	69.6883579853
66.0	0.810314594291	36.1811500770
67.0	0.703014155874	19.1263161921
68.0	0.625216994714	11.3518437124
69.0	0.57913344639	7.34164369530
70.0	0.552210615487	5.01954636145
71.0	0.536860769582	3.55269896654
72.0	0.528904471884	2.56314772363
73.0	0.525955215328	1.86043371111
74.0	0.526578963525	1.34028404833
75.0	0.529872532777	0.941722354071
76.0	0.535244070317	0.627137703952
77.0	0.54229304436	0.372286794114
78.0	0.550741478717	0.160952325613
79.0	0.560392856294	-0.0180653039198
80.0	0.571106637916	-0.1727195516
81.0	0.582781961126	-0.308801714708
82.0	0.595346924451	-0.430626692491
83.0	0.608751390997	-0.54147978144
84.0	0.622962077129	-0.643915568556
85.0	0.63795915982	-0.739962800922
86.0	0.653733935703	-0.831268044461
87.0	0.670287215331	-0.91919872775
88.0	0.68762826422	-1.00491875700
89.0	0.705774149702	-1.08944544142
90.0	0.724749419813	-1.17369357115
91.0	0.744586058067	-1.25851074872
92.0	0.765323681309	-1.34470689174
93.0	0.787009978555	-1.43308009601
94.0	0.809701389002	-1.52444059872
95.0	0.833464041013	-1.61963433167
96.0	0.858374991013	-1.71956744214
97.0	0.884523808289	-1.82523323893
98.0	0.912014590008	-1.93774316063
99.0	0.94096850007	-2.05836374531
100.0	0.971526980094	-2.18856028641
