	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
50.0	5.37432595833	-21.8222877402
51.0	5.89850242082	-23.3546811247
52.0	6.48726960911	-25.0663471662
53.0	7.15078166264	-26.9892636869
54.0	7.90076646344	-29.1624475857
55.0	8.75049353256	-31.6335245647
56.0	9.71442554415	-34.4604387766
57.0	10.8072459819	-37.7130338661
58.0	12.0417421053	-41.4738806185
59.0	13.4247457030	-45.8370713407
60.0	14.9501302184	-50.9026579744
61.0	16.5881957639	-56.7631425977
62.0	18.2726608745	-63.4779639074
63.0	19.8911217016	-71.0349587413
64.0	21.2910838285	-79.3079514407
65.0	22.3135895831	-88.0353774880
66.0	22.8487839056	-96.8499750214
67.0	22.8804366663	-105.362807553
68.0	22.4854929889	-113.259760521
69.0	21.7921396717	-120.356852347
70.0	20.9308765105	-126.597784797
71.0	20.0052051645	-132.016671825
72.0	19.0844612853	-136.695834284
73.0	18.2090242108	-140.734430115
74.0	17.3989387292	-144.230241825
75.0	16.6615366772	-147.271214000
76.0	15.9968830290	-149.932739532
77.0	15.4012598503	-152.277825066
78.0	14.8692439202	-154.358456639
79.0	14.3948789769	-156.217304080
80.0	13.9722997474	-157.889370536
81.0	13.5960371691	-159.403437739
82.0	13.2611447693	-160.783271481
83.0	12.9632282089	-162.048602095
84.0	12.6984254051	-163.215911574
85.0	12.4633636231	-164.299061753
86.0	12.2551082306	-165.309795105
87.0	12.0711106488	-166.258134561
88.0	11.9091593844	-167.152704079
89.0	11.7673356598	-168.000986679
90.0	11.6439742677	-168.809534182
91.0	11.5376292903	-169.584138277
92.0	11.4470444050	-170.329971840
93.0	11.3711271983	-171.051706692
94.0	11.3089267954	-171.753612919
95.0	11.2596143368	-172.439643684
96.0	11.2224656883	-173.113508794
97.0	11.1968458265	-173.778739360
98.0	11.1821944005	-174.438745455
99.0	11.1780119697	-175.096868254
100.0	11.1838463121	-175.756278998
