	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
50.0	5.53722435790	-21.7644611960
51.0	6.07621199136	-23.2951969135
52.0	6.68151012124	-25.0051748943
53.0	7.36353266083	-26.9263723130
54.0	8.13430460056	-29.0978053708
55.0	9.00742696716	-31.5670992038
56.0	9.99771631394	-34.3921972162
57.0	11.1202024530	-37.6429424476
58.0	12.3879498756	-41.4019050425
59.0	13.8078840860	-45.7631766486
60.0	15.3735963469	-50.8268086682
61.0	17.0544441700	-56.6853024201
62.0	18.7822067233	-63.3980960773
63.0	20.4413222400	-70.9530258651
64.0	21.8751405044	-79.2239155696
65.0	22.9205151956	-87.9492001200
66.0	23.4648811490	-96.7616171268
67.0	23.4919134032	-105.272229595
68.0	23.0809557277	-113.166922600
69.0	22.3638729892	-120.261714080
70.0	21.4747839529	-126.500305539
71.0	20.5199886595	-131.916810576
72.0	19.5706478771	-136.593549947
73.0	18.6681651350	-140.629681454
74.0	17.8330592001	-144.122987724
75.0	17.0727997403	-147.161413340
76.0	16.3874027736	-149.820351599
77.0	15.7730085428	-152.162809643
78.0	15.2240138154	-154.240774152
79.0	14.7342744837	-156.096915887
80.0	14.2977449124	-157.766239252
81.0	13.9087904061	-159.277527471
82.0	13.5623159670	-160.654548328
83.0	13.2537960021	-161.917034478
84.0	12.9792532773	-163.081470802
85.0	12.7352144813	-164.161722604
86.0	12.5186572450	-165.169536580
87.0	12.3269563919	-166.114940648
88.0	12.1578334254	-167.006564611
89.0	12.0093108938	-167.851898629
90.0	11.8796718794	-168.657502742
91.0	11.7674247964	-169.429178413
92.0	11.6712727337	-170.172109971
93.0	11.5900869558	-170.890982674
94.0	11.5228838658	-171.590082328
95.0	11.4688048190	-172.273380474
96.0	11.4270982474	-172.944608273
97.0	11.3971035149	-173.607321662
98.0	11.3782359460	-174.264959542
99.0	11.3699724924	-174.920896368
100.0	11.3718375028	-175.578341844
