	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
50.0	5.86258509817	-21.2675330040
51.0	6.42354793094	-22.7842413613
52.0	7.05259056266	-24.4799412962
53.0	7.76031262122	-26.3866041871
54.0	8.55892748620	-28.5432403672
55.0	9.46220886890	-30.9974688459
56.0	10.4850955463	-33.8072271335
57.0	11.6426275196	-37.0423520361
58.0	12.9476630167	-40.7854075118
59.0	14.4065375971	-45.1304788407
60.0	16.0116237983	-50.1776110209
61.0	17.7301234455	-56.0192989137
62.0	19.4904533841	-62.7149741121
63.0	21.1725066403	-70.2524661256
64.0	22.6146007049	-78.5055919191
65.0	23.6496119568	-87.2127795804
66.0	24.1638618384	-96.0067597490
67.0	24.1435686963	-104.498588372
68.0	23.6732929072	-112.374143354
69.0	22.8907702823	-119.449435419
70.0	21.9349863630	-125.668158731
71.0	20.9154637336	-131.064419610
72.0	19.9050838290	-135.720531184
73.0	18.9459089342	-139.735644013
74.0	18.0584807528	-143.207533062
75.0	17.2499627194	-146.224135553
76.0	16.5199249319	-148.860837356
77.0	15.8640268778	-151.180638114
78.0	15.2762027769	-153.235517401
79.0	14.7498870008	-155.068138863
80.0	14.2786606498	-156.713500093
81.0	13.8565632755	-158.200377807
82.0	13.4782174927	-159.552533686
83.0	13.1388531565	-160.789694813
84.0	12.8342808860	-161.928341215
85.0	12.5608424116	-162.982334125
86.0	12.3153530840	-163.963417147
87.0	12.0950442576	-164.881616375
88.0	11.8975094901	-165.745561354
89.0	11.7206559623	-166.562743754
90.0	11.5626617675	-167.339727322
91.0	11.4219386151	-168.082319853
92.0	11.2970995326	-168.795715191
93.0	11.1869308777	-169.484611798
94.0	11.0903680670	-170.153313052
95.0	11.0064743495	-170.805813307
96.0	10.9344219592	-171.445872621
97.0	10.8734751118	-172.077082878
98.0	10.8229743248	-172.702927078
99.0	10.7823214586	-173.326833179
100.0	10.7509647989	-173.952076292
