	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
50.0	83.5799095025	171.017417731
51.0	86.8500457996	169.896758321
52.0	90.4623059096	168.610544587
53.0	94.4593091506	167.127708014
54.0	98.8861920927	165.410216594
55.0	103.787646244	163.411512779
56.0	109.201997628	161.074812707
57.0	115.150250975	158.331534990
58.0	121.616975379	155.100484211
59.0	128.518997361	151.289068990
60.0	135.658441865	146.798877852
61.0	142.662136312	141.539204773
62.0	148.925552267	135.452580444
63.0	153.609381376	128.553330954
64.0	155.762740534	120.970011408
65.0	154.611607514	112.966808027
66.0	149.908205695	104.913875922
67.0	142.096242661	97.2033493447
68.0	132.137699262	90.1528823967
69.0	121.133558281	83.9503800450
70.0	110.004704427	78.6564947359
71.0	99.3643529842	74.2419504110
72.0	89.5411039245	70.6298063818
73.0	80.6609884460	67.7268916832
74.0	72.7283281654	65.4420880765
75.0	65.6844462607	63.6948679825
76.0	59.4441062384	62.4180867477
77.0	53.9158290449	61.5578967027
78.0	49.0121433747	61.0724560940
79.0	44.6540805586	60.9302880598
80.0	40.7725957191	61.1086705169
81.0	37.3084610803	61.5921912119
82.0	34.2114778181	62.3714788251
83.0	31.4394473613	63.4420639934
84.0	28.9571194906	64.8032963596
85.0	26.7352118883	66.4572319793
86.0	24.7495321736	68.4073994890
87.0	22.9802000625	70.6573631261
88.0	21.4109511475	73.2090187623
89.0	20.0284977388	76.0606117241
90.0	18.8219216105	79.2045479259
91.0	17.7820804195	82.6251922025
92.0	16.9010209552	86.2969908675
93.0	16.1714104304	90.1833730274
94.0	15.5860156849	94.2369061665
95.0	15.1372764372	98.4010307874
96.0	14.8170210639	102.613370635
97.0	14.6163601539	106.810178713
98.0	14.5257632039	110.931128180
99.0	14.5352888515	114.923539239
100.0	14.6349120515	118.745226372
