	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
50.0	85.0206667527	170.844447542
51.0	88.4167819641	169.710151859
52.0	92.1690935042	168.409328914
53.0	96.3222808659	166.910834159
54.0	100.923817121	165.176551950
55.0	106.020970612	163.159832603
56.0	111.654768680	160.803790697
57.0	117.848772387	158.039732452
58.0	124.589426574	154.786338107
59.0	131.793779326	150.950878282
60.0	139.260912872	146.434788284
61.0	146.609010306	141.147191594
62.0	153.216606571	135.030428679
63.0	158.217548075	128.098613609
64.0	160.626361811	120.480064141
65.0	159.635000941	112.438701000
66.0	154.974774585	104.344381547
67.0	147.090584977	96.5889059761
68.0	136.966062909	89.4895531319
69.0	125.733783568	83.2338062757
70.0	114.345016483	77.8818437341
71.0	103.436039414	73.4038565390
72.0	93.3501727473	69.7223053830
73.0	84.2214316475	66.7433479546
74.0	76.0575617212	64.3751147793
75.0	68.8005610728	62.5362408565
76.0	62.3643655327	61.1586529177
77.0	56.6559365256	60.1874812191
78.0	51.5859542872	59.5797715942
79.0	47.0735511448	59.3028541576
80.0	43.0478508302	59.3327554432
81.0	39.4479128003	59.6527926002
82.0	36.2219597161	60.2523686852
83.0	33.3263482097	61.1259314351
84.0	30.7245108090	62.2720338304
85.0	28.3859717567	63.6924207031
86.0	26.2854716424	65.3910600905
87.0	24.4022034102	67.3730363839
88.0	22.7191428025	69.6432269811
89.0	21.2224506725	72.2047059097
90.0	19.9009201593	75.0568615774
91.0	18.7454447727	78.1932978148
92.0	17.7484884743	81.5996994915
93.0	16.9035518452	85.2519858798
94.0	16.2046438109	89.1151875009
95.0	15.6457881660	93.1435120774
96.0	15.2206097244	97.2819343094
97.0	14.9220497746	101.469332210
98.0	14.7422491908	105.642780024
99.0	14.6726098969	109.742246680
100.0	14.7040112240	113.714723486
