	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
51.0	0.00233899540036	85.2614127573
52.0	0.00254131780874	84.9972698248
53.0	0.00276922020522	84.7071638020
54.0	0.0030274362104	84.3865143371
55.0	0.00332190800366	84.0295824811
56.0	0.00366019412355	83.6290786727
57.0	0.00405205294955	83.1756002797
58.0	0.00451029659257	82.6568063180
59.0	0.00505207197646	82.0561742983
60.0	0.00570083861446	81.3510716116
61.0	0.00648952268365	80.5096590863
62.0	0.00746573913323	79.4857189042
63.0	0.00870081933591	78.2096012883
64.0	0.010306218132	76.5714737806
65.0	0.0124650899779	74.3881917852
66.0	0.0154970027752	71.3322908643
67.0	0.0199984461596	66.7645360358
68.0	0.0271471781168	59.2962797865
69.0	0.0390943206151	45.5931401866
70.0	0.0557570427476	18.5945132390
71.0	0.0581498428466	-20.4987090596
72.0	0.0438459016475	-48.1140429675
73.0	0.0325310873456	-62.1582535626
74.0	0.0256006703073	-69.7871882966
75.0	0.0212058606164	-74.4443630874
76.0	0.0182433681952	-77.5608722113
77.0	0.0161404994088	-79.7928677091
78.0	0.0145870691068	-81.4753600501
79.0	0.0134042717623	-82.7952589387
80.0	0.012482959237	-83.8644824479
81.0	0.0117531859248	-84.7539599165
82.0	0.0111682778139	-85.5107803660
83.0	0.0106960286062	-86.1674419085
84.0	0.0103135924472	-86.7471281131
85.0	0.0100043938516	-87.2668637572
86.0	0.00975618896984	-87.7394800861
87.0	0.00955981088492	-88.1748826468
88.0	0.00940833557724	-88.5808949976
89.0	0.00929651537406	-88.9638364606
90.0	0.00922038720282	-89.3289283924
91.0	0.00917699842049	-89.6805875283
92.0	0.0091642140587	-90.0226436410
93.0	0.00918058188969	-90.3585059673
94.0	0.00922524033755	-90.6912949698
95.0	0.00929785908703	-91.0239510203
96.0	0.00939860639347	-91.3593285552
97.0	0.00952813926479	-91.7002823178
98.0	0.00968761515271	-92.0497513134
99.0	0.0098787252416	-92.4108456575
100.0	0.0101037512919	-92.7868633607
