	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
50.0	8.48875140324	159.267603197
51.0	9.28505070024	157.781021932
52.0	10.1761219835	156.117212843
53.0	11.1764931062	154.244322362
54.0	12.3028411699	152.123467164
55.0	13.5738776240	149.707165211
56.0	15.0097411988	146.937627051
57.0	16.6304391022	143.745175851
58.0	18.4525673963	140.047420821
59.0	20.4831499618	135.750464363
60.0	22.7091744921	130.754465037
61.0	25.0819733648	124.967149082
62.0	27.4984918927	118.329325304
63.0	29.7883868925	110.853425848
64.0	31.7248677333	102.665919087
65.0	33.0763067643	94.0286882666
66.0	33.6887334787	85.3093430275
67.0	33.5494645088	76.8971998026
68.0	32.7828004429	69.1067887449
69.0	31.5853244184	62.1225469439
70.0	30.1530207017	56.0012724051
71.0	28.6389377045	50.7094005087
72.0	27.1439502783	46.1652150626
73.0	25.7255011158	42.2702248797
74.0	24.4109400932	38.9273837820
75.0	23.2090557916	36.0495619000
76.0	22.1182040680	33.5622691126
77.0	21.1314484668	31.4035009553
78.0	20.2395892332	29.5223859103
79.0	19.4328474928	27.8774958009
80.0	18.7017431010	26.4352131840
81.0	18.0375092474	25.1683056742
82.0	17.4322501524	24.0547429255
83.0	16.8789628710	23.0767418701
84.0	16.3714916504	22.2200094416
85.0	15.9044532149	21.4731483788
86.0	15.4731535384	20.8271958957
87.0	15.0735070882	20.2752687853
88.0	14.7019636858	19.8122944775
89.0	14.3554454802	19.4348114210
90.0	14.0312946597	19.1408260792
91.0	13.7272323419	18.9297159918
92.0	13.4413284343	18.8021708553
93.0	13.1719824996	18.7601639812
94.0	12.9179159694	18.8069470226
95.0	12.6781764502	18.9470595225
96.0	12.4521549417	19.1863428800
97.0	12.2396177776	19.5319435427
98.0	12.0407548245	19.9922851610
99.0	11.8562466846	20.5769777678
100.0	11.6873526448	21.2966040150
