	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
50.0	2.08980502698	154.220033995
51.0	2.32060306223	152.663877744
52.0	2.58223992863	150.930919997
53.0	2.87977474460	148.989217615
54.0	3.21911167498	146.799794108
55.0	3.60702658129	144.315070170
56.0	4.05106115114	141.477154979
57.0	4.55914369643	138.216265509
58.0	5.13869268607	134.449899806
59.0	5.79481847121	130.084043162
60.0	6.52711750761	125.018731220
61.0	7.32465951883	119.161559905
62.0	8.15958331154	112.453200379
63.0	8.98186140691	104.905938450
64.0	9.72088162063	96.6460866648
65.0	10.2999468749	87.9353618915
66.0	10.6620339867	79.1411955237
67.0	10.7920358933	70.6527125292
68.0	10.7189226582	62.7842367927
69.0	10.4979052172	55.7199825335
70.0	10.1879182084	49.5165062626
71.0	9.83726294663	44.1399808731
72.0	9.47936180279	39.5084042001
73.0	9.13450741151	35.5229725399
74.0	8.81349999708	32.0862972599
75.0	8.52103469802	29.1108721306
76.0	8.25819537020	26.5217924781
77.0	8.02408942876	24.2565958983
78.0	7.81684708660	22.2639035867
79.0	7.63420183109	20.5017242136
80.0	7.47381198604	18.9358134932
81.0	7.33342844237	17.5382394846
82.0	7.21097372390	16.2861894123
83.0	7.10457158155	15.1610030844
84.0	7.01255000751	14.1474017054
85.0	6.93343088307	13.2328783147
86.0	6.86591382878	12.4072179963
87.0	6.80885829186	11.6621224808
88.0	6.76126625608	10.9909173846
89.0	6.72226669612	10.3883258652
90.0	6.69110236610	9.85029533175
91.0	6.66711923338	9.37386727667
92.0	6.64975880589	8.95708214033
93.0	6.63855345696	8.59891289879
94.0	6.63312508272	8.29922195898
95.0	6.63318737978	8.05873660692
96.0	6.63855238023	7.87903785797
97.0	6.64914186790	7.76255705365
98.0	6.66500477179	7.71257256724
99.0	6.68634179494	7.73319628751
100.0	6.71353875553	7.8293286517
