	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
50.0	0.0521842124999	160.246006773
51.0	0.0569164949744	158.783048082
52.0	0.062197330439	157.142935975
53.0	0.0681095165673	155.293794662
54.0	0.0747477148269	153.196715901
55.0	0.0822175241454	150.804189804
56.0	0.0906315904606	148.058395859
57.0	0.100100052194	144.889622614
58.0	0.110710841375	141.215441069
59.0	0.122493140941	136.941910929
60.0	0.135355942647	131.969143827
61.0	0.148997270507	126.204813751
62.0	0.16279693364	119.589672137
63.0	0.175746073209	112.136087549
64.0	0.186518034073	103.970458258
65.0	0.193776892527	95.3545902381
66.0	0.196659896714	86.6560079623
67.0	0.195139714268	78.2639340085
68.0	0.189984662712	70.4927951167
69.0	0.182370439183	63.5269144494
70.0	0.173452873105	57.4229644336
71.0	0.164125074063	52.1472422311
72.0	0.15496910125	47.6178792738
73.0	0.146311196746	43.7362163244
74.0	0.138302018458	40.4050220350
75.0	0.130984981234	37.5369621924
76.0	0.124343985642	35.0573211396
77.0	0.118333358976	32.9038455023
78.0	0.112895346106	31.0253885028
79.0	0.107969729283	29.3802178123
80.0	0.103498762161	27.9343793885
81.0	0.0994294316037	26.6602681242
82.0	0.095714252307	25.5354406519
83.0	0.0923112954071	24.5416557763
84.0	0.0891838445953	23.6641118946
85.0	0.0862998994584	22.8908468791
86.0	0.0836316412946	22.2122697836
87.0	0.0811549207553	21.6207985643
88.0	0.0788487970345	21.1105825727
89.0	0.0766951371305	20.6772938551
90.0	0.0746782810818	20.3179735757
91.0	0.0727847687838	20.0309244572
92.0	0.0710031291479	19.8156400218
93.0	0.0693237278349	19.6727645543
94.0	0.0677386732094	19.6040767030
95.0	0.0662417826229	19.6124896235
96.0	0.064828611161	19.7020592804
97.0	0.0634965477323	19.8779888364
98.0	0.0622449883413	20.1466119153
99.0	0.061075593366	20.5153305238
100.0	0.0599926412344	20.9924540856
