Frequency	Amplitude	Phase Angle
50.0	0.000736730565822	-96.4453270874
51.0	0.000764517215346	-96.9999781283
52.0	0.000794194965246	-97.6470705770
53.0	0.000826037262656	-98.4094764532
54.0	0.000860349144285	-99.3171136643
55.0	0.000897453895707	-100.409435994
56.0	0.000937657932282	-101.738798125
57.0	0.000981171482661	-103.374848081
58.0	0.0010279424198	-105.409811924
59.0	0.00107732641611	-107.963606584
60.0	0.00112747208747	-111.185226416
61.0	0.00117429092431	-115.241162771
62.0	0.00121009091632	-120.271464467
63.0	0.00122279435236	-126.285366901
64.0	0.00119825326874	-132.990946023
65.0	0.00112807961131	-139.652841322
66.0	0.00101884090552	-145.180982870
67.0	0.000891566322848	-148.511844978
68.0	0.000770127979768	-149.012056527
69.0	0.000670879918582	-146.653731361
70.0	0.000600433617026	-141.990894776
71.0	0.000558105905633	-135.985091795
72.0	0.000539106050695	-129.669971360
73.0	0.000537265788804	-123.810139425
74.0	0.000546917744199	-118.776176200
75.0	0.000563722791096	-114.634366808
76.0	0.000584708388465	-111.294995993
77.0	0.000607969794084	-108.618575076
78.0	0.000632334236853	-106.468095243
79.0	0.000657098170441	-104.727451743
80.0	0.000681848642309	-103.304207003
81.0	0.000706349360216	-102.126676931
82.0	0.000730470088691	-101.139720813
83.0	0.000754143393293	-100.300834319
84.0	0.0007773382011	-99.5769749644
85.0	0.000800043645889	-98.9421185605
86.0	0.000822259184767	-98.3754186894
87.0	0.000843988569005	-97.8598272800
88.0	0.000865236239756	-97.3810545386
89.0	0.00088600525078	-96.9267735252
90.0	0.000906296232628	-96.4859979050
91.0	0.000926107097169	-96.0485802425
92.0	0.000945433385938	-95.6047909901
93.0	0.000964269208062	-95.1449487301
94.0	0.000982608910943	-94.6590783974
95.0	0.00100044962235	-94.1365797927
96.0	0.00101779502283	-93.5658924898
97.0	0.00103466076828	-92.9341476548
98.0	0.00105108226196	-92.2268024140
99.0	0.00106712566918	-91.4272612778
100.0	0.00108290350868	-90.5164264727
