	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
50.0	0.0989963730592	-29.5822443140
51.0	0.111206952405	-31.1156557092
52.0	0.125161986228	-32.8265902547
53.0	0.141158630801	-34.7471457843
54.0	0.159546605212	-36.9164485441
55.0	0.180731741941	-39.3822235568
56.0	0.205172894266	-42.2025047347
57.0	0.233364502224	-45.4472164521
58.0	0.265791176129	-49.1990014756
59.0	0.302832283598	-53.5520158816
60.0	0.344586517632	-58.6063675219
61.0	0.39058995342	-64.4546068724
62.0	0.439443372479	-71.1562138104
63.0	0.488483048047	-78.6990594654
64.0	0.533809583932	-86.9569957758
65.0	0.571038198444	-95.6684794186
66.0	0.596724994809	-104.466263459
67.0	0.6096755495	-112.961420293
68.0	0.611178124345	-120.839838252
69.0	0.604092569717	-127.917532860
70.0	0.591611158062	-134.138197179
71.0	0.576426810301	-139.535930672
72.0	0.560454080041	-144.193034080
73.0	0.544894455714	-148.208639297
74.0	0.530420829993	-151.680497130
75.0	0.517358253956	-154.696514356
76.0	0.505820648657	-157.332040040
77.0	0.495802321222	-159.650030813
78.0	0.487235032382	-161.702416184
79.0	0.480021917293	-163.531802694
80.0	0.474056821421	-165.173123248
81.0	0.469234825198	-166.655081888
82.0	0.465457585304	-168.001358972
83.0	0.462635700246	-169.231591183
84.0	0.460689425675	-170.362158080
85.0	0.459548501652	-171.406809781
86.0	0.459151544687	-172.377167088
87.0	0.459445247065	-173.283120559
88.0	0.460383535766	-174.133150289
89.0	0.461926745844	-174.934583198
90.0	0.464040858133	-175.693801544
91.0	0.466696801188	-176.416413081
92.0	0.469869829394	-177.107391102
93.0	0.473538959536	-177.771190833
94.0	0.477686462628	-178.411847200
95.0	0.482297394739	-179.033057938
96.0	0.487359157007	-179.638255131
97.0	0.492861059932	179.769636524
98.0	0.498793882743	179.186928417
99.0	0.505149403123	178.610943650
100.0	0.511919866986	178.038606873
