	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
50.0	0.758012669545	156.335486367
51.0	0.836845249317	154.736174197
52.0	0.925927511426	152.955535255
53.0	1.02693197191	150.961519830
54.0	1.14180713383	148.715036499
55.0	1.27278343395	146.168382162
56.0	1.42233352910	143.263532406
57.0	1.59303941741	139.930560075
58.0	1.78728451973	136.086807670
59.0	2.00664251175	131.638092619
60.0	2.25079616248	126.484269012
61.0	2.51585906932	120.532737068
62.0	2.79225268759	113.723956142
63.0	3.06301332743	106.069983134
64.0	3.30442699937	97.6968829600
65.0	3.49100059021	88.8661044871
66.0	3.60412825598	79.9447888799
67.0	3.63943540219	71.3217465952
68.0	3.60729737486	63.3109604758
69.0	3.52669517010	56.0962743597
70.0	3.41762305421	49.7338425804
71.0	3.29632614164	44.1894005380
72.0	3.17395541891	39.3804698840
73.0	3.05721760138	35.2077276016
74.0	2.94963275854	31.5732185725
75.0	2.85268829376	28.3888174248
76.0	2.76668152194	25.5789418760
77.0	2.69126837045	23.0803869159
78.0	2.62579658411	20.8409586734
79.0	2.56949784090	18.8177697784
80.0	2.52159316493	16.9755889637
81.0	2.48134707085	15.2853958274
82.0	2.44809246079	13.7231745147
83.0	2.42123925737	12.2689330461
84.0	2.40027445861	10.9059155537
85.0	2.38475791079	9.61997390846
86.0	2.37431632898	8.39906637297
87.0	2.36863680633	7.23285753061
88.0	2.36746054175	6.11239753737
89.0	2.37057716734	5.02986365113
90.0	2.37781969685	3.97835071460
91.0	2.38906022540	2.95169990519
92.0	2.40420628795	1.94435765933
93.0	2.42319782598	0.95125821368
94.0	2.44600473811	-0.0322752054509
95.0	2.47262486665	-1.01061455777
96.0	2.50308242841	-1.98789969318
97.0	2.53742677780	-2.96810206162
98.0	2.57573143765	-3.95508143632
99.0	2.61809336483	-4.95263713399
100.0	2.66463231287	-5.96454995438
