	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
50.0	0.798151295519	156.689797472
51.0	0.880190800719	155.097902563
52.0	0.972805714436	153.324648654
53.0	1.07771273440	151.337980609
54.0	1.19690942686	149.098801458
55.0	1.33267868343	146.559402395
56.0	1.48754535967	143.661752921
57.0	1.66413587955	140.335919655
58.0	1.86485616396	136.499238714
59.0	2.09125583207	132.057520907
60.0	2.34290777582	126.910613445
61.0	2.61567516511	120.965909442
62.0	2.89952948861	114.163861004
63.0	3.17683087753	106.516517579
64.0	3.42303309018	98.1499364543
65.0	3.61187041510	89.3255586765
66.0	3.72432527504	80.4105174128
67.0	3.75616436375	71.7936149893
68.0	3.71838242642	63.7888258233
69.0	3.63078181655	56.5799855321
70.0	3.51410999385	50.2232396528
71.0	3.38516176040	44.6843151054
72.0	3.25542350879	39.8807246136
73.0	3.13177148545	35.7131365703
74.0	3.01778702997	32.0835868036
75.0	2.91495619749	28.9039412083
76.0	2.82354276481	26.0986085724
77.0	2.74315516990	23.6043752149
78.0	2.67308988371	21.3690386058
79.0	2.61252873096	19.3497027379
80.0	2.56064668659	17.5111282442
81.0	2.51666690971	15.8242865847
82.0	2.47988566973	14.2651543174
83.0	2.44968067505	12.8137321759
84.0	2.42551063653	11.4532576934
85.0	2.40691055108	10.1695766428
86.0	2.39348519612	8.95064204886
87.0	2.38490220559	7.78611416733
88.0	2.38088541045	6.66703990104
89.0	2.38120878466	5.58559457212
90.0	2.38569113963	4.53487255847
91.0	2.39419153782	3.50871637367
92.0	2.40660546066	2.50157582440
93.0	2.42286158201	1.50839091277
94.0	2.44291916238	0.524493391565
95.0	2.46676592460	-0.454476981534
96.0	2.49441637199	-1.43264467558
97.0	2.52591046725	-2.41396157133
98.0	2.56131263168	-3.40226309702
99.0	2.60071095859	-4.40131885425
100.0	2.64421660102	-5.41487436780
