	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
50.0	0.252908360023	-111.370614776
51.0	0.27176367219	-112.893840606
52.0	0.292739459693	-114.596498575
53.0	0.316151834783	-116.510592755
54.0	0.342359056859	-118.675168818
55.0	0.37175582973	-121.137884083
56.0	0.404755044028	-123.956717285
57.0	0.441746062967	-127.201550031
58.0	0.483011758918	-130.954994697
59.0	0.528578272266	-135.311189164
60.0	0.577967420417	-140.370235277
61.0	0.629838740345	-146.224689737
62.0	0.681580534548	-152.934051237
63.0	0.72907132849	-160.486222236
64.0	0.76702787054	-168.755098985
65.0	0.790296387254	-177.479195926
66.0	0.795779700569	173.708966375
67.0	0.783795894318	165.197621339
68.0	0.757787699354	157.301083310
69.0	0.722681705711	150.203219518
70.0	0.683172615624	143.960202400
71.0	0.64279734095	138.537779711
72.0	0.603795298103	133.853478526
73.0	0.567367828655	129.807973364
74.0	0.534019773533	126.303297305
75.0	0.503841067952	123.251302297
76.0	0.476699181162	120.576371013
77.0	0.452357485376	118.215248962
78.0	0.430542888647	116.115676046
79.0	0.41098195868	114.234679466
80.0	0.393418612704	112.536920331
81.0	0.377621493644	110.993244974
82.0	0.36338583929	109.579474789
83.0	0.350532571845	108.275421026
84.0	0.338906127261	107.064091907
85.0	0.328371841959	105.931058285
86.0	0.318813311242	104.863945447
87.0	0.310129924836	103.852025234
88.0	0.302234655405	102.885886132
89.0	0.295052125145	101.957164432
90.0	0.288516931229	101.058322738
91.0	0.282572210422	100.182464849
92.0	0.277168408607	99.3231788726
93.0	0.272262222395	98.4744015337
94.0	0.267815685381	97.6302985680
95.0	0.263795369412	96.7851567580
96.0	0.260171676172	95.9332841419
97.0	0.256918191607	95.0689157063
98.0	0.25401108589	94.1861222024
99.0	0.251428529592	93.2787205327
100.0	0.24915010535	92.3401066084
