	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
50.0	0.0080068566145	-115.435265308
51.0	0.00871088690777	-117.034128701
52.0	0.00950122544147	-118.812696302
53.0	0.0103914273543	-120.803031412
54.0	0.0113971109907	-123.044242030
55.0	0.0125358890828	-125.584051310
56.0	0.0138268629204	-128.480507572
57.0	0.0152892618929	-131.803565752
58.0	0.0169395255011	-135.635915936
59.0	0.0187857585913	-140.071777909
60.0	0.020818233583	-145.211340517
61.0	0.022995097945	-151.147252481
62.0	0.0252250426013	-157.939110055
63.0	0.0273549739303	-165.574919340
64.0	0.0291790438728	-173.928686754
65.0	0.0304849187718	177.261260264
66.0	0.0311289214347	168.361364136
67.0	0.0310950339885	159.760637542
68.0	0.0304924852234	151.772948771
69.0	0.0294978088002	144.582013356
70.0	0.0282885507473	138.243841375
71.0	0.0270042444592	132.724006892
72.0	0.0257374601715	127.939850485
73.0	0.0245413928021	123.791846577
74.0	0.0234418172577	120.181813087
75.0	0.0224475172816	117.021370600
76.0	0.0215576761751	114.234652336
77.0	0.0207665715818	111.758134924
78.0	0.0200663543607	109.539267840
79.0	0.0194486018741	107.534764316
80.0	0.0189051340603	105.708945753
81.0	0.0184284038152	104.032290284
82.0	0.0180116503479	102.480220090
83.0	0.0176489260078	101.032112819
84.0	0.017335059707	99.6705054224
85.0	0.0170655917714	98.3804557943
86.0	0.0168366996809	97.1490305005
87.0	0.0166451243069	95.9648919089
88.0	0.0164881013278	94.8179631984
89.0	0.0163633001355	93.6991534522
90.0	0.0162687699538	92.6001295951
91.0	0.0162028934084	91.5131239415
92.0	0.016164346316	90.4307689982
93.0	0.0161520629485	89.3459526119
94.0	0.0161652055025	88.2516879889
95.0	0.0162031370059	87.1409941109
96.0	0.0162653963258	86.0067829963
97.0	0.0163516739382	84.8417506833
98.0	0.0164617875969	83.6382696378
99.0	0.0165956558282	82.3882806094
100.0	0.0167532677137	81.0831139790
