	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
50.0	0.0270691649578	69.2936410808
51.0	0.0290257308432	67.8072515618
52.0	0.0311972202668	66.1435949089
53.0	0.0336151000217	64.2708140076
54.0	0.0363148382766	62.1500218472
55.0	0.0393352057602	59.7337322220
56.0	0.0427162516681	56.9641512631
57.0	0.0464948324617	53.7715972614
58.0	0.0506958779666	50.0736741721
59.0	0.0553167677262	45.7764785573
60.0	0.0603018512201	40.7801628249
61.0	0.0655060224175	34.9924461442
62.0	0.0706538380792	28.3541299479
63.0	0.0753172900177	20.8776381357
64.0	0.0789547593476	12.6894300547
65.0	0.0810462571994	4.05137906529
66.0	0.0812908387852	-4.66891606516
67.0	0.079741424514	-13.0821508251
68.0	0.0767685911067	-20.8738082305
69.0	0.072888146708	-27.8594656528
70.0	0.0685849398475	-33.9823411323
71.0	0.0642201121987	-39.2760169930
72.0	0.0600192981003	-43.8222290370
73.0	0.0561010055238	-47.7194902518
74.0	0.0525125773827	-51.0648709326
75.0	0.0492594282151	-53.9455278124
76.0	0.0463248369943	-56.4359811315
77.0	0.0436820152379	-58.5982688372
78.0	0.0413009351412	-60.4832999643
79.0	0.0391519282012	-62.1325446867
80.0	0.0372074088978	-63.5796677403
81.0	0.035442559922	-64.8519545607
82.0	0.0338354689241	-65.9714955008
83.0	0.0323669944053	-66.9561411335
84.0	0.0310205135662	-67.8202611148
85.0	0.029781633611	-68.5753393035
86.0	0.0286379072603	-69.2304368042
87.0	0.0275785724831	-69.7925484769
88.0	0.02659432373	-70.2668738304
89.0	0.0256771162663	-70.6570186874
90.0	0.0248200028351	-70.9651408010
91.0	0.0240170000224	-71.1920491472
92.0	0.0232629821027	-71.3372655487
93.0	0.0225536003616	-71.3990559449
94.0	0.0218852261903	-71.3744377827
95.0	0.0212549173779	-71.2591721160
96.0	0.0206604073348	-71.0477497148
97.0	0.0201001180696	-70.7333850546
98.0	0.0195731982515	-70.3080380260
99.0	0.0190795878319	-69.7624910082
100.0	0.0186201112202	-69.0864640259
