	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
50.0	0.00828523196427	-115.551476967
51.0	0.00901673552283	-117.149088957
52.0	0.00983803947379	-118.926270549
53.0	0.0107632552662	-120.915086793
54.0	0.0118086457755	-123.154647670
55.0	0.0129925562736	-125.692678230
56.0	0.014334891824	-128.587228806
57.0	0.0158557072414	-131.908256514
58.0	0.0175721786339	-135.738453637
59.0	0.019492844187	-140.172042462
60.0	0.0216077326367	-145.309214405
61.0	0.023873499466	-151.242621021
62.0	0.0261953857546	-158.031861657
63.0	0.0284143520652	-165.664945789
64.0	0.0303163903425	-174.015883586
65.0	0.0316805570145	177.176993335
66.0	0.0323570904542	168.280122762
67.0	0.032328851783	159.682512107
68.0	0.0317089675037	151.698023794
69.0	0.0306806956131	144.510366665
70.0	0.0294285186378	138.175543313
71.0	0.0280975235005	132.659119170
72.0	0.0267840366481	127.878425077
73.0	0.0255434688801	123.733924313
74.0	0.024402720375	120.127422268
75.0	0.0233710130273	116.970525023
76.0	0.0224475717932	114.187349418
77.0	0.0216265066649	111.714353229
78.0	0.0208997039575	109.498964585
79.0	0.0202584437309	107.497872220
80.0	0.0196942503009	105.675369624
81.0	0.0191992998094	104.001903133
82.0	0.0187665811143	102.452858504
83.0	0.0183899246968	101.007571946
84.0	0.0180639654845	99.6485330407
85.0	0.0177840756954	98.3607456846
86.0	0.0175462881469	97.1312147775
87.0	0.0173472197698	95.9485324172
88.0	0.0171840007991	94.8025414976
89.0	0.0170542110639	93.6840596133
90.0	0.0169558244335	92.5846492157
91.0	0.01688716032	91.4964234617
92.0	0.0168468419053	90.4118788667
93.0	0.0168337599707	89.3237480696
94.0	0.0168470409479	88.2248670980
95.0	0.0168860185427	87.1080526681
96.0	0.0169502072575	85.9659857670
97.0	0.0170392770352	84.7910985831
98.0	0.0171530269859	83.5754620320
99.0	0.0172913573221	82.3106721950
100.0	0.017454236704	80.9876653666
