	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
50.0	0.0270205349301	69.2675271773
51.0	0.0289757199177	67.7809459117
52.0	0.0311457714457	66.1171368234
53.0	0.0335621532883	64.2442463425
54.0	0.0362603330789	62.1233911444
55.0	0.0392790858324	59.7070891911
56.0	0.0426584733272	56.9375510311
57.0	0.0464353787528	53.7450998313
58.0	0.0506347812735	50.0473448007
59.0	0.0552541451952	45.7503883429
60.0	0.0602379562325	40.7543890167
61.0	0.0654413121886	34.9670730625
62.0	0.0705890469725	28.3292492841
63.0	0.0752534765186	20.8533498283
64.0	0.0788932737295	12.6658430674
65.0	0.0809885803195	4.02861224680
66.0	0.0812383099945	-4.69073299226
67.0	0.0796949718607	-13.1028762173
68.0	0.0767285991011	-20.8932872749
69.0	0.0728545001501	-27.8775290759
70.0	0.0685571756261	-33.9988036147
71.0	0.0641975845152	-39.2906755111
72.0	0.0600013036365	-43.8348609572
73.0	0.0560868584397	-47.7298511401
74.0	0.052501645694	-51.0726922378
75.0	0.0492511460498	-53.9505141198
76.0	0.0463187040755	-56.4378069072
77.0	0.0436775906258	-58.5965750645
78.0	0.0412978291361	-60.4776901095
79.0	0.039149794137	-62.1225802189
80.0	0.037205935737	-63.5648628359
81.0	0.0354414661456	-64.8317703456
82.0	0.0338344973289	-65.9453330944
83.0	0.0323659081348	-66.9233341497
84.0	0.0310190931184	-67.7800665782
85.0	0.0297796746627	-68.5269276410
86.0	0.0286352194286	-69.1728801241
87.0	0.0275749788829	-69.7248072345
88.0	0.0265896612926	-70.1877815423
89.0	0.0256712371738	-70.5652645988
90.0	0.0248127767008	-70.8592499406
91.0	0.0240083173866	-71.0703600280
92.0	0.0232527593701	-71.1979051645
93.0	0.0225417862918	-71.2399120386
94.0	0.0218718104358	-71.1931289972
95.0	0.0212399415941	-71.0530164973
96.0	0.0206439792825	-70.8137331398
97.0	0.0200824295965	-70.4681324771
98.0	0.0195545474376	-70.0077908588
99.0	0.019060406731	-69.4230982520
100.0	0.0186009994507	-68.7033959850
