	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
51.0	0.0564878142027	175.750081748
52.0	0.0621147487307	175.495412609
53.0	0.0684718872938	175.214831615
54.0	0.0756945127518	174.903766430
55.0	0.0839524872707	174.556486657
56.0	0.0934619228603	174.165711910
57.0	0.104501883175	173.722049395
58.0	0.117438827523	173.213168653
59.0	0.132763291249	172.622558452
60.0	0.151146525036	171.927598175
61.0	0.173530844964	171.096461480
62.0	0.201279265851	170.082944192
63.0	0.236434279681	168.817411113
64.0	0.282188400505	167.190045218
65.0	0.343790378415	165.017718458
66.0	0.430404348129	161.972983981
67.0	0.559153430503	157.416625450
68.0	0.763911709383	149.960015169
69.0	1.10686935580	136.268792486
70.0	1.58792308934	109.282375759
71.0	1.66536816819	70.2016809442
72.0	1.26243654512	42.5992172498
73.0	0.941426752138	28.5682465711
74.0	0.744452104855	20.9529503866
75.0	0.619484098793	16.3098433609
76.0	0.535254810094	13.2078639471
77.0	0.475496330731	10.9908949134
78.0	0.431386872697	9.32396293239
79.0	0.397837124769	8.02019790361
80.0	0.371738568402	6.96772400551
81.0	0.351098123735	6.09565708936
82.0	0.334585127574	5.3569564271
83.0	0.321280829636	4.71917559825
84.0	0.310533003554	4.15918635697
85.0	0.301867940199	3.66002328482
86.0	0.29493521055	3.20891877184
87.0	0.289471891609	2.79603570075
88.0	0.285278776178	2.41362405260
89.0	0.282204186994	2.05544371446
90.0	0.280132769556	1.71635870617
91.0	0.278977623475	1.39204446764
92.0	0.278674745899	1.07877084996
93.0	0.279179108697	0.773236450757
94.0	0.280461938622	0.47243770291
95.0	0.282508913503	0.17356114158
96.0	0.285319090482	-0.126109678843
97.0	0.288904454977	-0.429279210372
98.0	0.293290041034	-0.738722491092
99.0	0.298514609774	-1.05737045648
100.0	0.304631933977	-1.38840214274
