	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
51.0	0.960082388665	-3.15997910792
52.0	1.03824976801	-3.37247908115
53.0	1.12503628319	-3.60923828206
54.0	1.22195116720	-3.87473321568
55.0	1.33088438794	-4.17459057543
56.0	1.45423453817	-4.51597834518
57.0	1.59509169325	-4.90816720561
58.0	1.75750477491	-5.36335471407
59.0	1.94688234828	-5.89790709734
60.0	2.17061073294	-6.53428650831
61.0	2.43903865108	-7.30414558609
62.0	2.76710514578	-8.25349783763
63.0	3.17714909316	-9.45176855898
64.0	3.70400379935	-11.0085431120
65.0	4.40477206560	-13.1066933943
66.0	5.37876923634	-16.0733820509
67.0	6.81049212806	-20.5475093564
68.0	9.06110088195	-27.9173505320
69.0	12.7748695796	-41.5168719425
70.0	17.8166190528	-68.4062126286
71.0	18.1482539319	-107.383958452
72.0	13.3485346701	-134.877037348
73.0	9.64841824942	-148.791549115
74.0	7.38704726448	-156.282585657
75.0	5.94453345456	-160.792801786
76.0	4.96086427060	-163.752305520
77.0	4.25080954649	-165.816114171
78.0	3.71446447329	-167.317925985
79.0	3.29435178297	-168.443124931
80.0	2.95539702452	-169.301844533
81.0	2.67509443639	-169.962913714
82.0	2.43837818306	-170.470932237
83.0	2.23479359024	-170.855426022
84.0	2.05685801354	-171.136000885
85.0	1.89906937436	-171.325336318
86.0	1.75728365593	-171.430934310
87.0	1.62831108839	-171.456093232
88.0	1.50964661492	-171.400346515
89.0	1.39928541209	-171.259471676
90.0	1.29559388884	-171.025082643
91.0	1.19721794876	-170.683732054
92.0	1.10301714148	-170.215342380
93.0	1.01201775059	-169.590616751
94.0	0.923381087865	-168.766783631
95.0	0.836386131703	-167.680464499
96.0	0.750429484701	-166.235315324
97.0	0.665052431771	-164.279679750
98.0	0.580019928334	-161.564136902
99.0	0.495514062814	-157.656620750
100.0	0.412606947784	-151.766105712
