	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
51.0	0.056770608073	175.736780750
52.0	0.0624357331381	175.482350224
53.0	0.0688364986931	175.202039145
54.0	0.0761091724056	174.891275889
55.0	0.0844248483713	174.544330790
56.0	0.0940012001568	174.153924159
57.0	0.105119302008	173.710663935
58.0	0.118148245427	173.202220362
59.0	0.133582081337	172.612082927
60.0	0.152096860662	171.917631694
61.0	0.174641627149	171.087041080
62.0	0.202589112761	170.074107581
63.0	0.237996356354	168.809196694
64.0	0.284078592474	167.182492169
65.0	0.346121909913	165.010866591
66.0	0.433355629209	161.966873798
67.0	0.563024713314	157.411298250
68.0	0.769244526587	149.955512913
69.0	1.11464960031	136.265157805
70.0	1.59914574492	109.279652128
71.0	1.67718555506	70.1999124695
72.0	1.27141764029	42.5984487831
73.0	0.948131207678	28.5685237483
74.0	0.749751205155	20.9543196070
75.0	0.623884523594	16.3123517812
76.0	0.539042819555	13.2115595173
77.0	0.478843232369	10.9958264082
78.0	0.43440151579	9.33017990522
79.0	0.400592235539	8.02775079553
80.0	0.374284728739	6.97666415182
81.0	0.353471643072	6.10603671906
82.0	0.336812708449	5.36882871106
83.0	0.32338246406	4.73259466696
84.0	0.31252383572	4.17420736935
85.0	0.303759507126	3.67670243363
86.0	0.296736287155	3.22731337594
87.0	0.291189082013	2.81620418053
88.0	0.286916927659	2.43562603807
89.0	0.283766689161	2.07934006451
90.0	0.281621766611	1.74221156580
91.0	0.280394163697	1.41991731180
92.0	0.280018884558	1.10872853243
93.0	0.280449971893	0.80534525691
94.0	0.28165775923	0.506765378036
95.0	0.283627037632	0.210176925593
96.0	0.286355959315	-0.0871350315815
97.0	0.289855564527	-0.387873432574
98.0	0.294149873361	-0.694811825467
99.0	0.299276540094	-1.01087971076
100.0	0.305288103942	-1.33925482703
