Frequency	Amplitude	Phase Angle [deg]
51.0	1.99370780187e-05	-3.76676105069
52.0	2.0919093071e-05	-3.99925932512
53.0	2.20150354682e-05	-4.25677374695
54.0	2.32452072114e-05	-4.54383799823
55.0	2.46350470843e-05	-4.86614140595
56.0	2.62168558301e-05	-5.23092075594
57.0	2.80322624952e-05	-5.64752242164
58.0	3.01358296586e-05	-6.12822734026
59.0	3.260045517e-05	-6.68949387242
60.0	3.55256994005e-05	-7.35388609044
61.0	3.90510424622e-05	-8.15316969917
62.0	4.33777867973e-05	-9.13348384271
63.0	4.88068218752e-05	-10.3643938110
64.0	5.58070221819e-05	-11.9556412605
65.0	6.51462619007e-05	-14.0902730493
66.0	7.8158039802e-05	-17.0956483061
67.0	9.73134822671e-05	-21.6108883432
68.0	0.000127427330842	-29.0245178745
69.0	0.00017697588169	-42.6707856854
70.0	0.000243363122129	-69.6101516517
71.0	0.000244647413483	-108.641567138
72.0	0.000177758525496	-136.192377990
73.0	0.000127048942879	-150.169163632
74.0	9.6282062438e-05	-157.727568581
75.0	7.67733127148e-05	-162.310887001
76.0	6.35544609164e-05	-165.349969863
77.0	5.40826203233e-05	-167.500701953
78.0	4.69902332554e-05	-169.097799466
79.0	4.14921250143e-05	-170.327847262
80.0	3.71100023061e-05	-171.302404016
81.0	3.3537518999e-05	-172.092000308
82.0	3.05700327385e-05	-172.743281648
83.0	2.80659152105e-05	-173.288251264
84.0	2.59241584587e-05	-173.749538978
85.0	2.40708438544e-05	-174.143547849
86.0	2.2450655057e-05	-174.482408750
87.0	2.1021378728e-05	-174.775235317
88.0	1.97502382634e-05	-175.028952285
89.0	1.86113868787e-05	-175.248854570
90.0	1.75841547341e-05	-175.438990862
91.0	1.6651798046e-05	-175.602429141
92.0	1.58005902168e-05	-175.741440125
93.0	1.50191498815e-05	-175.857621096
94.0	1.42979363486e-05	-175.951974307
95.0	1.36288649537e-05	-176.024948318
96.0	1.30050092045e-05	-176.076446184
97.0	1.24203666587e-05	-176.105801007
98.0	1.18696716081e-05	-176.111715626
99.0	1.13482425063e-05	-176.092159467
100.0	1.08518545892e-05	-176.044061098
