Frequency	Amplitude	Phase Angle [deg]
51.0	0.000524895191265	-3.44367160037
52.0	0.000548347818919	-3.67008408330
53.0	0.000574523001727	-3.92156057640
54.0	0.000603906091843	-4.20264002533
55.0	0.000637105231864	-4.51901747734
56.0	0.000674892584591	-4.87793592081
57.0	0.00071826326296	-5.28874847826
58.0	0.000768521456823	-5.76374343423
59.0	0.000827409461562	-6.31938715659
60.0	0.000897306547815	-6.97825242571
61.0	0.000981545481457	-7.7721144434
62.0	0.0010849353084	-8.74712270403
63.0	0.0012146623876	-9.97285383365
64.0	0.00138192150931	-11.5590618552
65.0	0.00160503808944	-13.6888072172
66.0	0.00191581550291	-16.6894638390
67.0	0.00237312799647	-21.2001693294
68.0	0.00309146218824	-28.6094663079
69.0	0.00427124929502	-42.2516232868
70.0	0.00584282175104	-69.1871218892
71.0	0.00584284587606	-108.214937399
72.0	0.00422299442024	-135.762442234
73.0	0.00300233571349	-149.736245184
74.0	0.00226321182152	-157.292023520
75.0	0.00179505169678	-161.873107665
76.0	0.00147807576451	-164.910389215
77.0	0.00125109846063	-167.059798305
78.0	0.00108124914932	-168.656101984
79.0	0.000949668267761	-169.885942309
80.0	0.000844873154588	-170.860942468
81.0	0.000759512151003	-171.651706018
82.0	0.000688676043978	-172.304961196
83.0	0.000628968485133	-172.852805543
84.0	0.000577968162988	-173.317976600
85.0	0.000533903929377	-173.717001032
86.0	0.00049545109239	-174.062152135
87.0	0.000461599456617	-174.362708326
88.0	0.00043156537481	-174.625785936
89.0	0.000404731631401	-174.856903691
90.0	0.000380605426136	-175.060373178
91.0	0.00035878841335	-175.239572934
92.0	0.000338954949605	-175.397142736
93.0	0.000320836036437	-175.535121325
94.0	0.0003042072897	-175.655042741
95.0	0.000288879796027	-175.758000947
96.0	0.000274693067879	-175.844688675
97.0	0.000261509548347	-175.915413758
98.0	0.000249210260268	-175.970093733
99.0	0.000237691318617	-176.008227445
100.0	0.000226861085306	-176.028691153
