Frequency	Amplitude	Phase Angle [deg]
50.0	8.29357939597e-05	-20.7179729511
51.0	8.71887519456e-05	-22.2031657120
52.0	9.1911326573e-05	-23.8654787458
53.0	9.7167846933e-05	-25.7367578138
54.0	0.000103029212803	-27.8558776179
55.0	0.00010957034533	-30.2703110448
56.0	0.000116864283489	-33.0378375135
57.0	0.000124970323159	-36.2281230900
58.0	0.000133912121781	-39.9235466841
59.0	0.000143640140621	-44.2179933889
60.0	0.000153972681424	-49.2112906498
61.0	0.000164515246844	-54.9956972048
62.0	0.000174576723365	-61.6303879335
63.0	0.000183138949994	-69.1029127515
64.0	0.000188975633208	-77.2867838514
65.0	0.000190987207669	-85.9200966859
66.0	0.000188649473829	-94.6352183393
67.0	0.000182278792754	-103.042806877
68.0	0.000172888503699	-110.828304162
69.0	0.00016175545438	-117.807242421
70.0	0.000150015564574	-123.922789837
71.0	0.000138473688315	-129.208473866
72.0	0.000127601567407	-133.745969599
73.0	0.000117620256184	-137.633722944
74.0	0.000108591535166	-140.968729837
75.0	0.000100488259085	-143.838064512
76.0	9.32401069468e-05	-146.316155368
77.0	8.67603949391e-05	-148.464938171
78.0	8.09605341163e-05	-150.335207853
79.0	7.57571270273e-05	-151.968307075
80.0	7.10749428054e-05	-153.397757752
81.0	6.68477076777e-05	-154.650685079
82.0	6.30178135658e-05	-155.748999172
83.0	5.95355485371e-05	-156.710347837
84.0	5.63581672933e-05	-157.548871864
85.0	5.34489611771e-05	-158.275796511
86.0	5.07764019014e-05	-158.899890263
87.0	4.83133868495e-05	-159.427816448
88.0	4.60365912151e-05	-159.864398585
89.0	4.39259217119e-05	-160.212815809
90.0	4.19640619402e-05	-160.474741562
91.0	4.01360989589e-05	-160.650435555
92.0	3.84292210508e-05	-160.738797707
93.0	3.68324778104e-05	-160.737391683
94.0	3.53365961908e-05	-160.642445595
95.0	3.39338470409e-05	-160.448839536
96.0	3.26179590694e-05	-160.150091235
97.0	3.1384077749e-05	-159.738356776
98.0	3.02287682167e-05	-159.204470459
99.0	2.91500621037e-05	-158.538058517
100.0	2.81475471153e-05	-157.727642669
