	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
51.0	0.165080956369	86.5615726359
52.0	0.17582596187	86.3352956863
53.0	0.187748072042	86.0839570981
54.0	0.201058918774	85.8030180304
55.0	0.216023661725	85.4867835658
56.0	0.232978980729	85.1280108112
57.0	0.252358804269	84.7173468105
58.0	0.274731922191	84.2425033939
59.0	0.30085836618	83.6870143848
60.0	0.331776347737	83.0283071569
61.0	0.368940724489	82.2346067012
62.0	0.414451881408	81.2597637450
63.0	0.471450612831	80.0342018881
64.0	0.544833920141	78.4481673601
65.0	0.642627664037	76.3186000458
66.0	0.77878479627	73.3181262824
67.0	0.979206126457	68.8076088509
68.0	1.29451916511	61.3985055481
69.0	1.81466417497	47.7565482682
70.0	2.51807510411	20.8212559906
71.0	2.55379263412	-18.2063461029
72.0	1.87158596713	-45.7536297141
73.0	1.34893760712	-59.7272029221
74.0	1.03066769568	-67.2827421096
75.0	0.828420695726	-71.8635768064
76.0	0.69115097244	-74.9005974639
77.0	0.592643699113	-77.0497329937
78.0	0.518775567303	-78.6457489752
79.0	0.461428725992	-79.8752858155
80.0	0.415654346316	-80.8499647733
81.0	0.37828094495	-81.6403871450
82.0	0.347189064793	-82.2932786163
83.0	0.320911431841	-82.8407336678
84.0	0.298401379861	-83.3054863168
85.0	0.278892852001	-83.7040590584
86.0	0.261812556863	-84.0487202876
87.0	0.246723030163	-84.3487426318
88.0	0.233284665728	-84.6112355325
89.0	0.221229748489	-84.8417095062
90.0	0.210344297598	-85.0444663292
91.0	0.200455108219	-85.2228727154
92.0	0.191420338134	-85.3795541556
93.0	0.183122550797	-85.5165319984
94.0	0.175463495686	-85.6353190482
95.0	0.168360131347	-85.7369831287
96.0	0.161741552774	-85.8221846006
97.0	0.155546580678	-85.8911908994
98.0	0.149721840848	-85.9438687697
99.0	0.144220205285	-85.9796526206
100.0	0.138999501699	-85.9974122620
