Frequency	Amplitude	Phase Angle [deg]
50.0	3.63352953405e-08	-10.8947657562
51.0	3.71293544455e-08	-11.7684411036
52.0	3.7991695546e-08	-12.7654495519
53.0	3.89277147161e-08	-13.9107038982
54.0	3.99416607946e-08	-15.2349836393
55.0	4.10352351292e-08	-16.7762660451
56.0	4.22052216896e-08	-18.5811411410
57.0	4.34395963159e-08	-20.7060290065
58.0	4.47113809354e-08	-23.2175578970
59.0	4.59694914305e-08	-26.1908052670
60.0	4.71264504583e-08	-29.7030581757
61.0	4.80450743724e-08	-33.8194845295
62.0	4.85313968926e-08	-38.5666514135
63.0	4.83487803577e-08	-43.8928882066
64.0	4.72712002762e-08	-49.6247240892
65.0	4.51757602788e-08	-55.4444999246
66.0	4.2130363152e-08	-60.9195977223
67.0	3.84051241758e-08	-65.5873363303
68.0	3.43840969052e-08	-69.0550317878
69.0	3.04393137429e-08	-71.0636096187
70.0	2.68467094221e-08	-71.5006057351
71.0	2.37670920315e-08	-70.3867940512
72.0	2.12666329759e-08	-67.8632364680
73.0	1.9346180396e-08	-64.1832474500
74.0	1.79646891933e-08	-59.6933471922
75.0	1.70555378211e-08	-54.7870543902
76.0	1.65391393487e-08	-49.8372377339
77.0	1.63338466533e-08	-45.1354334132
78.0	1.63645734621e-08	-40.8642899027
79.0	1.65679380817e-08	-37.1057704267
80.0	1.68938655535e-08	-33.8690228495
81.0	1.7304702011e-08	-31.1204890483
82.0	1.77731424665e-08	-28.8070728015
83.0	1.82799197755e-08	-26.8706951493
84.0	1.88117416425e-08	-25.2560558395
85.0	1.93596389099e-08	-23.9140369380
86.0	1.9917720314e-08	-22.8026677580
87.0	2.04822657998e-08	-21.8868831281
88.0	2.10510794181e-08	-21.1377756101
89.0	2.16230326656e-08	-20.5317065834
90.0	2.21977434226e-08	-20.0494485969
91.0	2.27753514447e-08	-19.6754276680
92.0	2.33563599552e-08	-19.3970860275
93.0	2.39415244213e-08	-19.2043596377
94.0	2.45317724698e-08	-19.0892576740
95.0	2.51281459981e-08	-19.0455283399
96.0	2.57317566275e-08	-19.0683959296
97.0	2.63437503387e-08	-19.1543556538
98.0	2.69652752141e-08	-19.3010164003
99.0	2.75974502267e-08	-19.5069806503
100.0	2.82413304313e-08	-19.7717389912
