Frequency	Amplitude	Phase Angle [deg]
50.0	5.01791249546e-08	176.524474823
51.0	5.03372882924e-08	176.527081477
52.0	5.04964698255e-08	176.548817354
53.0	5.06576063634e-08	176.594359153
54.0	5.08225608657e-08	176.669508556
55.0	5.0994694817e-08	176.781349215
56.0	5.117974477e-08	176.938270150
57.0	5.13871187789e-08	177.149642759
58.0	5.16316916663e-08	177.424743176
59.0	5.19359890295e-08	177.770225418
60.0	5.23320955989e-08	178.185192037
61.0	5.28614415953e-08	178.653167110
62.0	5.35689293558e-08	179.132182534
63.0	5.44873449437e-08	179.548904208
64.0	5.56129396319e-08	179.808054613
65.0	5.68858322574e-08	179.824604465
66.0	5.81977630815e-08	179.565216296
67.0	5.94327845822e-08	179.066185376
68.0	6.05128086831e-08	178.411397252
69.0	6.14149822273e-08	177.691504843
70.0	6.21585682413e-08	176.975157261
71.0	6.27816502722e-08	176.301789485
72.0	6.33237397705e-08	175.687566436
73.0	6.38177062373e-08	175.134389998
74.0	6.42880138497e-08	174.637058749
75.0	6.47517773656e-08	174.187685995
76.0	6.52205613609e-08	173.778015860
77.0	6.57020423817e-08	173.400460693
78.0	6.62012885318e-08	173.048457703
79.0	6.67216669798e-08	172.716500982
80.0	6.72654601276e-08	172.400038492
81.0	6.78342744458e-08	172.095327076
82.0	6.84293096249e-08	171.799287634
83.0	6.9051533806e-08	171.509376677
84.0	6.97017989666e-08	171.223478768
85.0	7.03809159085e-08	170.939819199
86.0	7.10897053637e-08	170.656894169
87.0	7.18290318407e-08	170.373415622
88.0	7.25998274854e-08	170.088267638
89.0	7.34031107283e-08	169.800472460
90.0	7.42400002964e-08	169.509163729
91.0	7.51117286048e-08	169.213565722
92.0	7.60196549522e-08	168.912977284
93.0	7.69652791706e-08	168.606759399
94.0	7.79502584926e-08	168.294325955
95.0	7.89764263152e-08	167.975136721
96.0	8.0045816559e-08	167.648692334
97.0	8.11606926773e-08	167.314530557
98.0	8.23235851048e-08	166.972223479
99.0	8.35373377991e-08	166.621374908
100.0	8.48051672551e-08	166.261476536
