Frequency	Amplitude	Phase Angle [deg]
50.0	6.40025438266e-07	-11.8198017242
51.0	6.55609546681e-07	-12.7627442988
52.0	6.72573524646e-07	-13.8369807935
53.0	6.91037936343e-07	-15.0687237521
54.0	7.11106522579e-07	-16.4903154709
55.0	7.32841104271e-07	-18.1416209188
56.0	7.56218422697e-07	-20.0715203445
57.0	7.81058326993e-07	-22.3392239822
58.0	8.06908931471e-07	-25.0147716164
59.0	8.32873336051e-07	-28.1774232849
60.0	8.57372934426e-07	-31.9096018687
61.0	8.77882749582e-07	-36.2827779450
62.0	8.90770200269e-07	-41.3312249827
63.0	8.91516652125e-07	-47.0126148116
64.0	8.75671271409e-07	-53.1646166394
65.0	8.40570618906e-07	-59.4824624233
66.0	7.870327446e-07	-65.5476535952
67.0	7.19680267675e-07	-70.9113835668
68.0	6.45389867354e-07	-75.1914176775
69.0	5.70970856859e-07	-78.1298264377
70.0	5.01569145987e-07	-79.5966495810
71.0	4.40279277388e-07	-79.5645596725
72.0	3.88521612059e-07	-78.0861266444
73.0	3.46606838822e-07	-75.2884188546
74.0	3.1417965582e-07	-71.3800041299
75.0	2.90482190767e-07	-66.6521963397
76.0	2.74496511487e-07	-61.4553253693
77.0	2.65046595879e-07	-56.1466255478
78.0	2.60905480339e-07	-51.0299233627
79.0	2.60904631152e-07	-46.3157901140
80.0	2.64018545562e-07	-42.1153559706
81.0	2.69406831452e-07	-38.4595639365
82.0	2.76416851789e-07	-35.3272635426
83.0	2.84561894753e-07	-32.6700746357
84.0	2.93489850845e-07	-30.4296116763
85.0	3.02952041669e-07	-28.5475195215
86.0	3.12776614139e-07	-26.9704141769
87.0	3.22847614123e-07	-25.6517473211
88.0	3.33089281728e-07	-24.5520277343
89.0	3.43454588633e-07	-23.6382744869
90.0	3.53917007703e-07	-22.8831829840
91.0	3.64464660419e-07	-22.2642485563
92.0	3.7509618103e-07	-21.7629565232
93.0	3.85817809769e-07	-21.3640800102
94.0	3.96641358683e-07	-21.0550906050
95.0	4.07582806353e-07	-20.8256738672
96.0	4.18661338047e-07	-20.6673354827
97.0	4.29898716178e-07	-20.5730826511
98.0	4.41318890428e-07	-20.5371678136
99.0	4.52947791096e-07	-20.5548829286
100.0	4.64813270511e-07	-20.6223772217
