	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
51.0	0.00013497487062	83.7029687075
52.0	0.000151063702284	83.2171795099
53.0	0.000170111870801	82.6639509603
54.0	0.000192928533416	82.0256600207
55.0	0.000220636415518	81.2778106631
56.0	0.000254837397615	80.3853611397
57.0	0.000297893646354	79.2964380548
58.0	0.000353428572331	77.9310059219
59.0	0.000427271620376	76.1591303933
60.0	0.00052936187258	73.7559900051
61.0	0.000677877662402	70.2996807899
62.0	0.000908822835731	64.9114814612
63.0	0.00129775221617	55.5130105686
64.0	0.00197145716372	36.7160346120
65.0	0.00264887531701	-0.0900409025914
66.0	0.0022414247716	-38.5121421816
67.0	0.0016138721381	-58.7554152848
68.0	0.00123003456898	-68.7649727209
69.0	0.00100013406599	-74.4332961999
70.0	0.000852741152432	-78.0394856400
71.0	0.000752316798624	-80.5348078303
72.0	0.000680699377204	-82.3707449973
73.0	0.000627921122158	-83.7857468251
74.0	0.000588132281747	-84.9167134033
75.0	0.000557701382912	-85.8475711562
76.0	0.000534267849214	-86.6325473538
77.0	0.000516238618038	-87.3082198018
78.0	0.000502505443838	-87.9001645110
79.0	0.000492278426235	-88.4268220712
80.0	0.000484983923783	-88.9018487246
81.0	0.000480199746792	-89.3356014530
82.0	0.000477612800424	-89.7361075421
83.0	0.000476990700424	-90.1097161985
84.0	0.000478162381642	-90.4615480658
85.0	0.000481004648083	-90.7958128006
86.0	0.000485432765158	-91.1160385531
87.0	0.000491393878132	-91.4252414981
88.0	0.000498862469201	-91.7260539274
89.0	0.000507837332267	-92.0208234297
90.0	0.000518339729476	-92.3116918095
91.0	0.000530412514444	-92.6006598751
92.0	0.000544120091025	-92.8896426870
93.0	0.000559549148234	-93.1805186664
94.0	0.000576810168117	-93.4751754612
95.0	0.000596039749082	-93.7755549334
96.0	0.000617403846208	-94.0836996592
97.0	0.000641102086383	-94.4018032284
98.0	0.000667373393137	-94.7322670419
99.0	0.000696503239366	-95.0777667292
100.0	0.000728832987382	-95.4412515596
