Frequency	Amplitude	Phase Angle [deg]
50.0	1.66708968925e-06	-37.6712086841
51.0	1.84103508793e-06	-38.8161831584
52.0	2.03615217829e-06	-40.1636563544
53.0	2.25574724747e-06	-41.7432987558
54.0	2.50363790014e-06	-43.5920792077
55.0	2.78414175692e-06	-45.7557961268
56.0	3.10196164994e-06	-48.2907543373
57.0	3.4618668571e-06	-51.2653187447
58.0	3.86800027549e-06	-54.7607187234
59.0	4.32255109646e-06	-58.8698225818
60.0	4.82346593362e-06	-63.6915585725
61.0	5.36098003214e-06	-69.3173907502
62.0	5.91336646832e-06	-75.8057922070
63.0	6.44381709439e-06	-83.1436954008
64.0	6.90240953947e-06	-91.2040709700
65.0	7.23709074744e-06	-99.7245424920
66.0	7.41183637904e-06	-108.337069308
67.0	7.42121691728e-06	-116.651961413
68.0	7.2902789165e-06	-124.354368562
69.0	7.06086288371e-06	-131.259584164
70.0	6.77561537922e-06	-137.310588708
71.0	6.46839586813e-06	-142.540771713
72.0	6.16191554567e-06	-147.031719342
73.0	5.8694251263e-06	-150.881837420
74.0	5.59752376521e-06	-154.188131126
75.0	5.34864605825e-06	-157.037734745
76.0	5.12284097276e-06	-159.505189009
77.0	4.91891101246e-06	-161.652597177
78.0	4.73509241084e-06	-163.530980388
79.0	4.56943950626e-06	-165.181970259
80.0	4.42002989791e-06	-166.639445799
81.0	4.28506528336e-06	-167.930964050
82.0	4.1629136873e-06	-169.078949066
83.0	4.05211994904e-06	-170.101653937
84.0	3.95140005668e-06	-171.013926767
85.0	3.85962785005e-06	-171.827814610
86.0	3.7758191756e-06	-172.553036812
87.0	3.69911578939e-06	-173.197353432
88.0	3.6287705132e-06	-173.766849917
89.0	3.56413417368e-06	-174.266154733
90.0	3.50464454637e-06	-174.698602738
91.0	3.44981748861e-06	-175.066354700
92.0	3.39924013998e-06	-175.370481063
93.0	3.35256634219e-06	-175.611016347
94.0	3.30951421567e-06	-175.786990611
95.0	3.26986612677e-06	-175.896443472
96.0	3.23347117749e-06	-175.936427559
97.0	3.20025058739e-06	-175.903009902
98.0	3.17020639542e-06	-175.791282593
99.0	3.14343402515e-06	-175.595399194
100.0	3.1201393718e-06	-175.308512028
