Frequency	Amplitude	Phase Angle [deg]
50.0	5.64082434134e-05	158.248236448
51.0	5.94930376398e-05	156.717896541
52.0	6.2925152044e-05	155.008323466
53.0	6.67533698277e-05	153.087540205
54.0	7.10319350504e-05	150.916530836
55.0	7.58189478986e-05	148.447670409
56.0	8.11724053473e-05	145.623015716
57.0	8.71420044793e-05	142.372723929
58.0	9.37537273604e-05	138.614225105
59.0	0.000100983018808	134.253427832
60.0	0.000108712124411	129.190280886
61.0	0.000116670832286	123.332283061
62.0	0.000124373150638	116.619996465
63.0	0.000131090101698	109.065584971
64.0	0.000135928694052	100.795225003
65.0	0.000138068859649	92.0704817213
66.0	0.000137090072166	83.2586176645
67.0	0.000133174583726	74.7485698964
68.0	0.00012701797128	66.8544534961
69.0	0.000119523772069	59.7602504602
70.0	0.000111510052683	53.5222593995
71.0	0.000103565988323	48.1063666164
72.0	9.60443839724e-05	43.4302513590
73.0	8.91173571242e-05	39.3947555394
74.0	8.28405557812e-05	35.9020965892
75.0	7.72034315039e-05	32.8643294524
76.0	7.21623560312e-05	30.2060605705
77.0	6.76602821885e-05	27.8642824331
78.0	6.36375155632e-05	25.7870076566
79.0	6.00371319561e-05	23.9315648597
80.0	5.68073618322e-05	22.2629488356
81.0	5.39023417282e-05	20.7523753169
82.0	5.12820395933e-05	19.3760753019
83.0	4.891179807e-05	18.1143147310
84.0	4.67617360613e-05	16.9506070062
85.0	4.48061290067e-05	15.8710847502
86.0	4.30228264807e-05	14.8639989476
87.0	4.13927310343e-05	13.9193188313
88.0	3.98993441115e-05	13.0284113121
89.0	3.8528377071e-05	12.1837824092
90.0	3.72674205495e-05	11.3788675652
91.0	3.61056651407e-05	10.6078600846
92.0	3.50336655305e-05	9.86556952176
93.0	3.40431415092e-05	9.14730350818
94.0	3.31268096375e-05	8.44876797955
95.0	3.22782400892e-05	7.76598183673
96.0	3.14917347371e-05	7.09520276514
97.0	3.07622216093e-05	6.43286199758
98.0	3.00851637269e-05	5.77550577540
99.0	2.94564778555e-05	5.11974256969
100.0	2.88724621622e-05	4.46219098727
