Frequency	Amplitude	Phase Angle [deg]
50.0	2.14782015534e-05	-18.0938482536
51.0	2.24044334731e-05	-19.4831880196
52.0	2.34294715906e-05	-21.0461133949
53.0	2.45660819717e-05	-22.8142698495
54.0	2.58280058923e-05	-24.8263173295
55.0	2.72292263296e-05	-27.1294977492
56.0	2.87824378969e-05	-29.7813418722
57.0	3.04961399136e-05	-32.8512476467
58.0	3.23694690983e-05	-36.4213042272
59.0	3.43835995967e-05	-40.5850830547
60.0	3.64886325402e-05	-45.4420715350
61.0	3.85863105439e-05	-51.0841590284
62.0	4.0513282376e-05	-57.5701181644
63.0	4.2038033233e-05	-64.8870602336
64.0	4.28923828464e-05	-72.9080181486
65.0	4.28497931242e-05	-81.3705623026
66.0	4.18237061298e-05	-89.9064834766
67.0	3.99183514751e-05	-98.1258058433
68.0	3.73863919837e-05	-105.713272334
69.0	3.45265231203e-05	-112.483642694
70.0	3.15940919372e-05	-118.379229517
71.0	2.87630507244e-05	-123.432609867
72.0	2.61298690159e-05	-127.724400941
73.0	2.37347578667e-05	-131.351867663
74.0	2.15834140951e-05	-134.410684451
75.0	1.96631313888e-05	-136.986442544
76.0	1.79529685668e-05	-139.151901872
77.0	1.64295242389e-05	-140.967115754
78.0	1.5069924491e-05	-142.480749731
79.0	1.38531930907e-05	-143.731731111
80.0	1.27607422206e-05	-144.750834608
81.0	1.17764151384e-05	-145.562052931
82.0	1.08863204907e-05	-146.183715809
83.0	1.00785857427e-05	-146.629368979
84.0	9.34309493117e-06	-146.908444528
85.0	8.67124130877e-06	-147.026753493
86.0	8.05570775725e-06	-146.986832526
87.0	7.49027850838e-06	-146.788168586
88.0	6.96968154626e-06	-146.427326042
89.0	6.48945908776e-06	-145.897996731
90.0	6.04586292506e-06	-145.190995690
91.0	5.63577171089e-06	-144.294232507
92.0	5.25662723307e-06	-143.192697661
93.0	4.90638711293e-06	-141.868523960
94.0	4.58349144906e-06	-140.301211060
95.0	4.28684063364e-06	-138.468143957
96.0	4.0157807862e-06	-136.345583780
97.0	3.77009182132e-06	-133.910363436
98.0	3.549971015e-06	-131.142547828
99.0	3.35600205355e-06	-128.029275131
100.0	3.18909703541e-06	-124.569700754
