	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
50.0	45.7953297491	-0.116578748194
51.0	45.8211289362	-0.134441878572
52.0	45.8485819824	-0.155732654946
53.0	45.8776875673	-0.181265825266
54.0	45.9083419277	-0.212068852909
55.0	45.9402650230	-0.249426912154
56.0	45.9728840586	-0.294919391755
57.0	46.0051545892	-0.350421645419
58.0	46.0352993299	-0.418016642342
59.0	46.0604620464	-0.49971206722
60.0	46.0763351103	-0.596793472747
61.0	46.0769698022	-0.708610752999
62.0	46.0552410727	-0.830746229543
63.0	46.0046543038	-0.953122040275
64.0	45.9227916393	-1.05973213854
65.0	45.8150358662	-1.13224680501
66.0	45.6952284795	-1.15746901845
67.0	45.5810404317	-1.13392788739
68.0	45.4868066842	-1.07194666045
69.0	45.4192471645	-0.987494124424
70.0	45.3780401639	-0.895391940494
71.0	45.3589205507	-0.80590092542
72.0	45.3565383948	-0.724583258455
73.0	45.3660526420	-0.653612642039
74.0	45.3836781578	-0.593182944186
75.0	45.4066830088	-0.542523358509
76.0	45.4331884050	-0.50050214319
77.0	45.4619437230	-0.465940899418
78.0	45.4921381107	-0.437757391336
79.0	45.5232602788	-0.415017098077
80.0	45.5549997967	-0.396940437464
81.0	45.5871796613	-0.382890830676
82.0	45.6197113135	-0.372356245478
83.0	45.6525643467	-0.364930134387
84.0	45.6857467065	-0.360294238267
85.0	45.7192911904	-0.358204070244
86.0	45.7532468605	-0.358477132903
87.0	45.7876731655	-0.360983621014
88.0	45.8226357648	-0.365639271254
89.0	45.8582042430	-0.372400015674
90.0	45.8944497045	-0.381258159734
91.0	45.9314437384	-0.392239832152
92.0	45.9692568592	-0.405403536512
93.0	46.0079573335	-0.420839649336
94.0	46.0476101047	-0.438670766762
95.0	46.0882746209	-0.459052826027
96.0	46.1300033358	-0.482176932881
97.0	46.1728386830	-0.508271849795
98.0	46.2168095676	-0.537607090652
99.0	46.2619270151	-0.570496524662
100.0	46.3081780329	-0.607301865021
