	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
50.0	45.7789532025	-0.118252124929
51.0	45.8043219144	-0.136614012274
52.0	45.8313670750	-0.158527638771
53.0	45.8600864633	-0.184839457466
54.0	45.8903713408	-0.216617043579
55.0	45.9219299040	-0.25519589545
56.0	45.9541663678	-0.302217442493
57.0	45.9859950026	-0.359630991528
58.0	46.0155688157	-0.429602149565
59.0	46.0399202768	-0.514219222483
60.0	46.0545738509	-0.614821599585
61.0	46.0533489134	-0.730739258044
62.0	46.0288410024	-0.857388871317
63.0	45.9742970711	-0.984304241208
64.0	45.8871949650	-1.09485057282
65.0	45.7731135145	-1.16996099793
66.0	45.6464224431	-1.19588413064
67.0	45.5254804578	-1.17105131410
68.0	45.4251891130	-1.10616877023
69.0	45.3525412265	-1.01783525485
70.0	45.3072097551	-0.921473239873
71.0	45.2847652225	-0.827767586096
72.0	45.2796471882	-0.742514603169
73.0	45.2868219492	-0.667982125355
74.0	45.3023523399	-0.604374905901
75.0	45.3233953776	-0.550891597116
76.0	45.3479948098	-0.506353714802
77.0	45.3748472448	-0.469533215788
78.0	45.4031063739	-0.439301452177
79.0	45.4322371797	-0.414683012185
80.0	45.4619132667	-0.394863331738
81.0	45.4919469691	-0.379176313532
82.0	45.5222423392	-0.367085130327
83.0	45.5527637300	-0.358162373771
84.0	45.5835151475	-0.352072131472
85.0	45.6145263238	-0.348554846086
86.0	45.6458437178	-0.347415008465
87.0	45.6775242219	-0.348511432063
88.0	45.7096312819	-0.351749751644
89.0	45.7422319329	-0.357076793667
90.0	45.7753946268	-0.364476523308
91.0	45.8091882910	-0.373967302687
92.0	45.8436804533	-0.385600288192
93.0	45.8789361026	-0.399458798323
94.0	45.9150166355	-0.415658549714
95.0	45.9519777990	-0.434348685488
96.0	45.9898679888	-0.455713518077
97.0	46.0287251132	-0.479974951175
98.0	46.0685735132	-0.507395496717
99.0	46.1094191498	-0.538281825187
100.0	46.1512435914	-0.572988217039
