Frequency	Amplitude	Phase Angle [deg]
51.0	3.15244825645e-07	-8.21609929452
52.0	3.557785641e-07	-8.61685142552
53.0	4.03540169715e-07	-9.08710005776
54.0	4.60479865847e-07	-9.64435286264
55.0	5.29301733563e-07	-10.3130121562
56.0	6.1386150765e-07	-11.1280442868
57.0	7.19841813033e-07	-12.1412626483
58.0	8.55955096441e-07	-13.4326556640
59.0	1.03621159926e-06	-15.1321213814
60.0	1.2844869729e-06	-17.4644538733
61.0	1.64442456724e-06	-20.8515369772
62.0	2.20239499017e-06	-26.1720777753
63.0	3.13937482431e-06	-35.5044481522
64.0	4.75740421377e-06	-54.2368756491
65.0	6.37213318489e-06	-90.9799516511
66.0	5.37168347911e-06	-129.340601082
67.0	3.85081981714e-06	-149.523970175
68.0	2.92042711702e-06	-159.475172314
69.0	2.36151826602e-06	-165.086690505
70.0	2.0013588354e-06	-168.637625930
71.0	1.75414307433e-06	-171.079246339
72.0	1.57604609496e-06	-172.863034431
73.0	1.44301680625e-06	-174.227439688
74.0	1.34093527479e-06	-175.309361247
75.0	1.26102831375e-06	-176.192723750
76.0	1.19758422866e-06	-176.931751855
77.0	1.14673884062e-06	-177.563019951
78.0	1.10579377459e-06	-178.112099900
79.0	1.0728149547e-06	-178.597427480
80.0	1.0463862853e-06	-179.032653592
81.0	1.02545314281e-06	-179.428129493
82.0	1.00921990825e-06	-179.791876515
83.0	9.97081123359e-07	179.870066194
84.0	9.8857423117e-07	179.551975635
85.0	9.83346542447e-07	179.249951620
86.0	9.81131841156e-07	178.960470722
87.0	9.81733676039e-07	178.680520547
88.0	9.85013405194e-07	178.407471336
89.0	9.90881723331e-07	178.138976451
90.0	9.99292820588e-07	177.872893111
91.0	1.01024059083e-06	177.607217170
92.0	1.02375653943e-06	177.340027463
93.0	1.03990915161e-06	177.069436177
94.0	1.05880462214e-06	176.793542450
95.0	1.08058892013e-06	176.510386738
96.0	1.10545128123e-06	176.217903627
97.0	1.13362928177e-06	175.913870704
98.0	1.16541577925e-06	175.595850816
99.0	1.20116813056e-06	175.261124580
100.0	1.24132026878e-06	174.906461350
