Frequency	Amplitude	Phase Angle [deg]
51.0	5.81943123565e-06	179.555414326
52.0	5.83305904981e-06	179.534551153
53.0	5.84799448818e-06	179.510388764
54.0	5.86453252665e-06	179.481737772
55.0	5.88307613104e-06	179.446813034
56.0	5.90418980266e-06	179.402838452
57.0	5.92868726716e-06	179.345311931
58.0	5.9577796913e-06	179.266555700
59.0	5.9933337127e-06	179.152649725
60.0	6.03832534326e-06	178.976373740
61.0	6.09758618102e-06	178.679230740
62.0	6.17845958745e-06	178.120035075
63.0	6.28570118682e-06	176.913120128
64.0	6.35681878335e-06	174.025179063
65.0	5.97078356053e-06	169.775777261
66.0	5.41247101739e-06	172.456110289
67.0	5.40263316934e-06	176.138835145
68.0	5.49838750675e-06	177.725640852
69.0	5.57953521507e-06	178.421268896
70.0	5.64137095273e-06	178.767683815
71.0	5.68969092762e-06	178.958833082
72.0	5.72906417496e-06	179.072110315
73.0	5.76244294402e-06	179.142382230
74.0	5.79171544424e-06	179.187019182
75.0	5.81812055439e-06	179.215398461
76.0	5.84249838019e-06	179.232917513
77.0	5.86543803819e-06	179.242847123
78.0	5.88736614546e-06	179.247252947
79.0	5.90860134703e-06	179.247482901
80.0	5.929388909e-06	179.244438635
81.0	5.9499232881e-06	179.238733436
82.0	5.97036336136e-06	179.230787537
83.0	5.99084290659e-06	179.220887373
84.0	6.01147809273e-06	179.209223342
85.0	6.03237295298e-06	179.195914233
86.0	6.05362353914e-06	179.181023159
87.0	6.07532117328e-06	179.164567834
88.0	6.09755513273e-06	179.146526949
89.0	6.12041495671e-06	179.126843730
90.0	6.14399252225e-06	179.105427316
91.0	6.16838404903e-06	179.082152308
92.0	6.19369210683e-06	179.056856687
93.0	6.22002773357e-06	179.029338077
94.0	6.24751276188e-06	178.999348248
95.0	6.27628245951e-06	178.966585584
96.0	6.30648859065e-06	178.930685096
97.0	6.33830304314e-06	178.891205357
98.0	6.37192224781e-06	178.847611495
99.0	6.4075725339e-06	178.799253015
100.0	6.44551681232e-06	178.745183747
