Frequency	Amplitude	Phase Angle [deg]
51.0	5.26736107983e-07	-3.86121775235
52.0	5.54143799461e-07	-4.11208056333
53.0	5.84849080464e-07	-4.38923512215
54.0	6.19447483652e-07	-4.6972747798
55.0	6.58685736205e-07	-5.04195139837
56.0	7.03512607517e-07	-5.43056737614
57.0	7.55151624838e-07	-5.87253794771
58.0	8.15207386475e-07	-6.38021647204
59.0	8.85824924019e-07	-6.97013746248
60.0	9.69935455995e-07	-7.66494519967
61.0	1.07164781587e-06	-8.49648997308
62.0	1.19689550081e-06	-9.51100021844
63.0	1.35455309132e-06	-10.7781356191
64.0	1.55846008657e-06	-12.4077378276
65.0	1.83130234127e-06	-14.5829597089
66.0	2.21252577079e-06	-17.6312729898
67.0	2.77536817241e-06	-22.1919188936
68.0	3.66303104515e-06	-29.6535499541
69.0	5.13013919653e-06	-43.3505516496
70.0	7.11742733237e-06	-70.3435300719
71.0	7.22251149046e-06	-109.431593759
72.0	5.30022092659e-06	-137.042257545
73.0	3.82823030043e-06	-151.082283192
74.0	2.93355966285e-06	-158.707512612
75.0	2.3667564282e-06	-163.361453880
76.0	1.98365921913e-06	-166.475190875
77.0	1.71022797142e-06	-168.704862469
78.0	1.50657569683e-06	-170.385463006
79.0	1.34978038521e-06	-171.703882824
80.0	1.22587345257e-06	-172.772017207
81.0	1.12590867982e-06	-173.660768942
82.0	1.04391337617e-06	-174.417196525
83.0	9.75758958883e-07	-175.073763205
84.0	9.18506918352e-07	-175.653613072
85.0	8.70013512862e-07	-176.173726440
86.0	8.28681840839e-07	-176.646884722
87.0	7.9330127949e-07	-177.082937844
88.0	7.62940560974e-07	-177.489647533
89.0	7.36874825415e-07	-177.873264541
90.0	7.14534811556e-07	-178.238934392
91.0	6.95470831677e-07	-178.590990098
92.0	6.79326875744e-07	-178.933169151
93.0	6.65821790627e-07	-179.268779176
94.0	6.54735544865e-07	-179.600828834
95.0	6.4589921741e-07	-179.932135527
96.0	6.39187811831e-07	179.734885645
97.0	6.34515283514e-07	179.396920607
98.0	6.31831382435e-07	179.051498310
99.0	6.31120084747e-07	178.695689257
100.0	6.3239949785e-07	178.326165798
