	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
51.0	0.0092661378282	-94.8304449477
52.0	0.0101042880511	-95.2425523574
53.0	0.0110785833954	-95.7207238074
54.0	0.012225171749	-96.2826327608
55.0	0.0135940943401	-96.9528229353
56.0	0.0152565900085	-97.7663804081
57.0	0.0173174733255	-98.7752188622
58.0	0.0199371402103	-100.059409464
59.0	0.0233729429722	-101.748916992
60.0	0.0280621992412	-104.068587533
61.0	0.0348010984211	-107.440343220
62.0	0.0451551876419	-112.742916607
63.0	0.0623623496335	-122.054692835
64.0	0.091566574655	-140.763901003
65.0	0.118835937512	-177.481122716
66.0	0.0970656876903	144.187042050
67.0	0.0674194684299	124.034870809
68.0	0.0495368030022	114.117597161
69.0	0.0388046147098	108.542792166
70.0	0.0318549422911	105.031420078
71.0	0.0270404747427	102.632290298
72.0	0.0235256449558	100.894009505
73.0	0.0208536140975	99.5782303630
74.0	0.0187567247968	98.5481693718
75.0	0.0170687965803	97.7200318674
76.0	0.0156815882096	97.0397385294
77.0	0.0145217354156	96.4708768032
78.0	0.0135378261026	95.9880545241
79.0	0.0126927982618	95.5730350330
80.0	0.011959279305	95.2123877379
81.0	0.0113166246346	94.8960049436
82.0	0.0107489764805	94.6161344688
83.0	0.0102439564518	94.3667305328
84.0	0.00979176346506	94.1430071022
85.0	0.00938453805653	93.9411236484
86.0	0.00901590576633	93.7579594745
87.0	0.00868064356444	93.5909486219
88.0	0.00837443241441	93.4379569083
89.0	0.00809367117436	93.2971886952
90.0	0.00783533487707	93.1671149420
91.0	0.00759686566301	93.0464164947
92.0	0.0073760879422	92.9339383774
93.0	0.00717114190144	92.8286518322
94.0	0.00698043101177	92.7296216500
95.0	0.00680258038219	92.6359767634
96.0	0.00663640364998	92.5468823082
97.0	0.00648087669487	92.4615114238
98.0	0.0063351168987	92.3790149887
99.0	0.00619836711633	92.2984871227
100.0	0.00606998367937	92.2188459254
