Frequency	Amplitude	Phase Angle [deg]
51.0	1.82887718839e-07	176.474757458
52.0	1.90092023632e-07	176.298696896
53.0	1.98055302629e-07	176.091968962
54.0	2.06946059476e-07	175.844289255
55.0	2.16994575931e-07	175.540702252
56.0	2.28524504067e-07	175.158783938
57.0	2.4200573077e-07	174.663682206
58.0	2.58146800248e-07	173.998858379
59.0	2.78064699145e-07	173.067704049
60.0	3.03613948509e-07	171.694208871
61.0	3.38056702653e-07	169.530781131
62.0	3.8743459604e-07	165.817308319
63.0	4.62624060901e-07	158.676144893
64.0	5.70686238129e-07	143.084806541
65.0	5.98152303217e-07	111.164373611
66.0	3.73838269377e-07	80.9473384481
67.0	1.87264767688e-07	76.2708591560
68.0	1.04107939748e-07	97.0156083449
69.0	9.0508292562e-08	130.728092032
70.0	1.07373530442e-07	151.514383836
71.0	1.29239932329e-07	161.188838293
72.0	1.49986791674e-07	166.060555081
73.0	1.689571982e-07	168.794152710
74.0	1.86473500761e-07	170.460077271
75.0	2.0295420477e-07	171.536771179
76.0	2.18757091821e-07	172.261549963
77.0	2.34167070445e-07	172.762538078
78.0	2.49410572344e-07	173.113741411
79.0	2.6467145176e-07	173.360284383
80.0	2.80103741785e-07	173.530912716
81.0	2.95841182707e-07	173.644601463
82.0	3.12004268758e-07	173.714241317
83.0	3.28705541392e-07	173.748790742
84.0	3.46053696632e-07	173.754581922
85.0	3.64156904054e-07	173.736139517
86.0	3.8312563818e-07	173.696708584
87.0	4.03075227642e-07	173.638602689
88.0	4.24128292228e-07	173.563437685
89.0	4.46417197911e-07	173.472290504
90.0	4.70086652576e-07	173.365807497
91.0	4.95296552917e-07	173.244277597
92.0	5.22225206289e-07	173.107680235
93.0	5.51073062604e-07	172.955714275
94.0	5.82067116195e-07	172.787811905
95.0	6.15466175089e-07	172.603139698
96.0	6.5156724766e-07	172.400588048
97.0	6.90713368556e-07	172.178748936
98.0	7.33303278993e-07	171.935881161
99.0	7.79803522527e-07	171.669861226
100.0	8.30763704795e-07	171.377972145
