Frequency	Amplitude	Phase Angle [deg]
51.0	2.45710099725e-05	-5.41200022074
52.0	2.65280101853e-05	-5.84861523798
53.0	2.88162336289e-05	-6.35225853912
54.0	3.15237715203e-05	-6.94064678460
55.0	3.47726039348e-05	-7.63836918973
56.0	3.87364155526e-05	-8.4805598102
57.0	4.36707847534e-05	-9.51918299716
58.0	4.9966848789e-05	-10.8343634144
59.0	5.82521925157e-05	-12.5561224633
60.0	6.95932224615e-05	-14.9093661561
61.0	8.59312211302e-05	-18.3160801555
62.0	0.000111082367273	-23.6550644113
63.0	0.000152934923272	-33.0047756756
64.0	0.000223993902284	-51.7535191192
65.0	0.000290156147996	-88.5119574226
66.0	0.000236704230291	-126.887081000
67.0	0.000164306861192	-147.084096310
68.0	0.000120727133001	-157.048172304
69.0	9.46338179178e-05	-162.671843187
70.0	7.77873460398e-05	-166.234257470
71.0	6.61610913864e-05	-168.686726647
72.0	5.77135320611e-05	-170.480773867
73.0	5.13288752372e-05	-171.854886047
74.0	4.63536315109e-05	-172.945996957
75.0	4.23822598933e-05	-173.838063300
76.0	3.91507838785e-05	-174.585339355
77.0	3.64804493113e-05	-175.224426888
78.0	3.4246153737e-05	-175.780923001
79.0	3.23578809129e-05	-176.273286697
80.0	3.074932164e-05	-176.715190186
81.0	2.93706460742e-05	-177.117004187
82.0	2.81837690597e-05	-177.486767726
83.0	2.71591639029e-05	-177.830839987
84.0	2.62736676348e-05	-178.154350075
85.0	2.55089378184e-05	-178.461514837
86.0	2.48503484071e-05	-178.755868599
87.0	2.42861877863e-05	-179.040432956
88.0	2.38070693263e-05	-179.317845140
89.0	2.3405494312e-05	-179.590457474
90.0	2.30755265096e-05	-179.860416570
91.0	2.28125501569e-05	179.870575638
92.0	2.26130920078e-05	179.599990028
93.0	2.24746938677e-05	179.326245297
94.0	2.23958267002e-05	179.047445432
95.0	2.23758401019e-05	178.761638375
96.0	2.24149441788e-05	178.466769107
97.0	2.25142224116e-05	178.160628838
98.0	2.26756767278e-05	177.840797669
99.0	2.2902307763e-05	177.504577525
100.0	2.31982362786e-05	177.148761817
