	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
51.0	0.00599161107329	85.0674001861
52.0	0.00654296460136	84.6553519661
53.0	0.00718410057082	84.1774990363
54.0	0.00793882527998	83.6161938196
55.0	0.00884009190558	82.9469211502
56.0	0.00993480940793	82.1346264969
57.0	0.0112919922257	81.1274310585
58.0	0.0130172493703	79.8453022613
59.0	0.0152800290181	78.1583181061
60.0	0.0183682836649	75.8416799947
61.0	0.0228063072333	72.4735185128
62.0	0.0296251814156	67.1751597807
63.0	0.0409581465858	57.8682840328
64.0	0.0601989613889	39.1647351145
65.0	0.0781988037169	2.45401294955
66.0	0.0639264232593	-35.8706952638
67.0	0.0444344748257	-56.0144015041
68.0	0.0326689868665	-65.9220612096
69.0	0.025604227665	-71.4859738964
70.0	0.0210265300919	-74.9850292284
71.0	0.017852666181	-77.3702526806
72.0	0.0155330512881	-79.0928504461
73.0	0.0137671406529	-80.3909573287
74.0	0.0123788046395	-81.4011147667
75.0	0.011258653131	-82.2068410217
76.0	0.0103354007717	-82.8618988950
77.0	0.00956069727847	-83.4023373757
78.0	0.0089006247977	-83.8531296756
79.0	0.00833069612605	-84.2320280551
80.0	0.00783278750304	-84.5519009550
81.0	0.00739318899053	-84.8222012083
82.0	0.00700132582181	-85.0499149416
83.0	0.00664889632709	-85.2401878599
84.0	0.00632927630869	-85.3967434135
85.0	0.00603709828679	-85.5221613207
86.0	0.005767948162	-85.6180580141
87.0	0.00551814236766	-85.6851940528
88.0	0.00528456111447	-85.7235228616
89.0	0.00506452135455	-85.7321874394
90.0	0.00485567820163	-85.7094655491
91.0	0.00465594689493	-85.6526579262
92.0	0.00446343973853	-85.5579072339
93.0	0.00427641392009	-85.4199265153
94.0	0.00409322728758	-85.2316029479
95.0	0.00391229991738	-84.9834225724
96.0	0.00373208010332	-84.6626296195
97.0	0.00355101404364	-84.2519802004
98.0	0.00336751951272	-83.7278577225
99.0	0.00317996548825	-83.0573526476
100.0	0.00298666269098	-82.1935355232
