	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
51.0	0.000976106856869	-93.0148093268
52.0	0.00103511116177	-93.3165150015
53.0	0.00110204029108	-93.6745196523
54.0	0.00117895018813	-94.1051905887
55.0	0.00126867980823	-94.6315291145
56.0	0.00137525962465	-95.2867872126
57.0	0.00150460133196	-96.1206811027
58.0	0.00166571819823	-97.2106272792
59.0	0.00187300511531	-98.6833543203
60.0	0.00215077222033	-100.759723562
61.0	0.00254288097269	-103.856696082
62.0	0.00313429370149	-108.846751131
63.0	0.00409527116956	-117.800282112
64.0	0.00566240196788	-136.095143808
65.0	0.00688301966993	-172.328209993
66.0	0.00523288270315	149.912403834
67.0	0.00335808566809	130.446493395
68.0	0.00225955712075	121.365501678
69.0	0.00160361248549	116.830075444
70.0	0.00117689188945	114.642063741
71.0	0.000878241708032	113.979508502
72.0	0.000657233990469	114.609891030
73.0	0.000486816063134	116.693513215
74.0	0.000351824356832	120.888231362
75.0	0.000244321744983	128.867328376
76.0	0.000163187360034	144.713227239
77.0	0.000118517824354	175.077610711
78.0	0.000124715161594	-148.676586501
79.0	0.000164817653565	-126.329985799
80.0	0.000215262292182	-114.938476324
81.0	0.000267273102373	-108.646609423
82.0	0.000318437721433	-104.810661371
83.0	0.000368209757429	-102.289281183
84.0	0.000416618417244	-100.539326505
85.0	0.00046387892087	-99.2759898531
86.0	0.0005102620904	-98.3375861671
87.0	0.000556048378469	-97.6263473694
88.0	0.000601512441412	-97.0801094319
89.0	0.000646919605501	-96.6577266683
90.0	0.000692527170914	-96.3310782533
91.0	0.000738587742372	-96.0804561818
92.0	0.00078535345644	-95.8917876540
93.0	0.000833080684474	-95.7549017176
94.0	0.000882035121272	-95.6624159653
95.0	0.000932497323847	-95.6090056881
96.0	0.000984768871812	-95.5909176033
97.0	0.00103917939807	-95.6056457727
98.0	0.00109609480076	-95.6517198104
99.0	0.00115592708214	-95.7285746571
100.0	0.0012191463595	-95.8364029958
