Frequency	Amplitude	Phase Angle
50.0	2.67939775812e-05	-15.6123924711
51.0	2.82589657551e-05	-16.8331893078
52.0	2.99126934855e-05	-18.2176682083
53.0	3.17894044832e-05	-19.7999973069
54.0	3.3930682187e-05	-21.6237966916
55.0	3.63866541654e-05	-23.7452755444
56.0	3.9216674836e-05	-26.2374511000
57.0	4.24883570687e-05	-29.1956774974
58.0	4.62724423259e-05	-32.7444497889
59.0	5.0628259194e-05	-37.0445545810
60.0	5.55697717078e-05	-42.2971838712
61.0	6.09965337993e-05	-48.7359638803
62.0	6.65766708764e-05	-56.5876585000
63.0	7.16110968456e-05	-65.9733937261
64.0	7.50285032292e-05	-76.7440494277
65.0	7.57581390208e-05	-88.3411706414
66.0	7.3419446309e-05	-99.8794685564
67.0	6.8643821056e-05	-110.498219924
68.0	6.2604493554e-05	-119.690232523
69.0	5.6336421215e-05	-127.348551895
70.0	5.04522301355e-05	-133.614722149
71.0	4.5205200739e-05	-138.720017158
72.0	4.06403424633e-05	-142.895194288
73.0	3.6708217121e-05	-146.336408759
74.0	3.33275011293e-05	-149.199483668
75.0	3.0413816009e-05	-151.604714638
76.0	2.78909642832e-05	-153.644082623
77.0	2.56940664876e-05	-155.387920844
78.0	2.37693489031e-05	-156.890270590
79.0	2.20727595945e-05	-158.192948008
80.0	2.05683406726e-05	-159.328558555
81.0	1.92267163601e-05	-160.322712774
82.0	1.80238075048e-05	-161.195653327
83.0	1.69397826142e-05	-161.963453203
84.0	1.59582186757e-05	-162.638901859
85.0	1.50654358649e-05	-163.232162952
86.0	1.42499717563e-05	-163.751263104
87.0	1.35021656281e-05	-164.202454447
88.0	1.28138291634e-05	-164.590480838
89.0	1.21779846748e-05	-164.918768879
90.0	1.1588656303e-05	-165.189558696
91.0	1.10407030624e-05	-165.403984685
92.0	1.05296850148e-05	-165.562112471
93.0	1.00517561229e-05	-165.662936395
94.0	9.60357882812e-06	-165.704338818
95.0	9.18225673115e-06	-165.683011499
96.0	8.78528292051e-06	-165.594337816
97.0	8.41050213689e-06	-165.432233818
98.0	8.05608623612e-06	-165.188946695
99.0	7.72052270026e-06	-164.854810610
100.0	7.40261733118e-06	-164.417825849
