Frequency	Amplitude	Phase Angle
50.0	3.37202343098e-05	164.862749772
51.0	3.5496772335e-05	163.656800922
52.0	3.75013782392e-05	162.287465532
53.0	3.97752514782e-05	160.720573439
54.0	4.23683479741e-05	158.912500744
55.0	4.53407675779e-05	156.807032632
56.0	4.87634677333e-05	154.331143740
57.0	5.27169112457e-05	151.389469581
58.0	5.72845704586e-05	147.857501460
59.0	6.25348873037e-05	143.574435759
60.0	6.84795611599e-05	138.339059719
61.0	7.49892963291e-05	131.917721544
62.0	8.1651980603e-05	124.083626745
63.0	8.76101185822e-05	114.715612513
64.0	9.15605356988e-05	103.962755457
65.0	9.22143121372e-05	92.3834588680
66.0	8.91345649091e-05	80.8629507984
67.0	8.31154398755e-05	70.2618831541
68.0	7.5598020167e-05	61.0873644816
69.0	6.78419909914e-05	53.4462517092
70.0	6.05862758436e-05	47.1968867589
71.0	5.41311769746e-05	42.1078629435
72.0	4.85246928594e-05	37.9482686149
73.0	4.37015627875e-05	34.5217685551
74.0	3.95591854728e-05	31.6723308798
75.0	3.59923355556e-05	29.2794169429
76.0	3.29065138268e-05	27.2507630643
77.0	3.02215255987e-05	25.5157075203
78.0	2.78710567563e-05	24.0198264865
79.0	2.58008766782e-05	22.7208584521
80.0	2.39667818099e-05	21.5856788193
81.0	2.23327040281e-05	20.5880715752
82.0	2.08691112414e-05	19.7070869525
83.0	1.955170645e-05	18.9258250009
84.0	1.83603891719e-05	18.2305280338
85.0	1.72784334546e-05	17.6098970356
86.0	1.6291838786e-05	17.0545717234
87.0	1.53888171165e-05	16.5567308529
88.0	1.45593862837e-05	16.1097810351
89.0	1.37950463563e-05	15.7081115025
90.0	1.30885207518e-05	15.3468977157
91.0	1.24335479198e-05	15.0219413427
92.0	1.18247127692e-05	14.7295369498
93.0	1.12573094612e-05	14.4663578708
94.0	1.07272288386e-05	14.2293554021
95.0	1.02308653931e-05	14.0156663282
96.0	9.7650398987e-06	13.8225241907
97.0	9.32693409876e-06	13.6471707105
98.0	8.91403522479e-06	13.4867631321
99.0	8.52408775164e-06	13.3382741045
100.0	8.15505078133e-06	13.1983685764
